,OBJECTID,TRACT,GEOID,Total Population,Total Pop of 1 Race,Pop of 1 race: White,Pop of 1 race: Black,Pop of 1 race: American Indian Alaskan,Pop of 1 race: Asian,Pop of 1 race: Native Hawaiian Pacific Islander,Pop of 1 race: Other Race,Pop 2 or more races: Black and,Pop 2 or more races: American Indian Alaskan and,Pop 2 or more races: Asian and,Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Hispanic Population,Total Non-Minority Population (White Not Hispanic),Not Hispanic Pop of 1 race: Black,Not Hispanic Pop of 1 race: American Indian Alaskan,Not Hispanic Pop of 1 race: Asian,Not Hispanic Pop of 1 race: Native Hawaiian Pacific Islander,Not Hispanic Pop of 1 race: Other Race,Not Hispanic Pop 2 or more races: Black and,Not Hispanic Pop 2 or more races: American Indian Alaskan and,Not Hispanic Pop 2 or more races: Asian and,Not Hispanic Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Pop 18+,18+ Pop 1 race: White,18+ Pop 1 race: Black,18+ Pop 1 race: American Indian Alaskan,18+ Pop 1 race: Asian,18+ Pop 1 race: Native Hawaiian Pacific Islander,18+ Pop 1 race: Other race,18+ Pop 2 or more races: Black and,18+ Pop 2 or more races: American Indian Alaskan and,18+ Pop 2 or more races: Asian and,18+ Pop 2 or more races: Native Hawaiian Pacific Islander,Hispanic 18+ Pop,Non-Minority 18+ Pop (White Non-Hispanic),Not Hispanic 18+ Pop 1 race: Black,Not Hispanic 18+ Pop 1 race: American Indian Alaskan,Not Hispanic 18+ Pop 1 race: Asian,Not Hispanic 18+ Pop 1 race: Native Hawaiian Pacific Islander,Not Hispanic 18+ Pop 1 race: Other race,Not Hispanic 18+ Pop 2 or more races: Black and,Not Hispanic 18+ Pop 2 or more races: American Indian Alaskan and,Not Hispanic 18+ Pop 2 or more races: Asian and,Not Hispanic 18+ Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Housing Units,Occupied Housing Units,Vacant Housing Units,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015,NEIGHBORHOODCLUSTER,POPDENSITY,INCOME_LEVEL_2010,INCOME_LEVEL_2015,INCOME_CH_2005_2010,INCOME_CH_2010_2015,BIN_INCOME_CH_2005_2010,BIN_INCOME_CH_2010_2015
70,71,58.0,11001005800,2830,2737,1806,265,7,602,4,53,29,17,46,6,180,1698,262,7,600,4,1,21,16,46,6,2710,1759,254,7,563,4,42,24,17,39,6,161,1656,251,7,561,4,1,19,16,39,6,2306,1810,496,225.04,0.35,4111.14,910712.66,119511652.0,83192.0,175823623.0,89328.0,167620188.0,88884.5,151839744.0,87076.0,159463208.0,88725.0,171281204.0,100633.5,8,8048.28,MID_HIGH_INCOME,HIGH_INCOME,112.0,20.97,LG_INCREASE,LG_INCREASE
71,72,59.0,11001005900,2998,2922,1712,826,9,280,1,94,37,15,29,2,223,1617,806,9,278,1,7,25,13,25,1,2885,1695,752,7,278,1,83,31,14,27,2,207,1603,732,7,276,1,7,21,12,23,1,1868,1523,345,159.09,0.25,3377.37,643826.11,55624517.13,46136.0,89285287.0,47249.0,91864708.0,49222.0,90357257.0,49116.0,56008018.0,51855.0,73843853.0,52042.0,8,12060.38,MID_INCOME,MID_INCOME,50.0,12.8,LG_INCREASE,LG_INCREASE
73,74,64.0,11001006400,2139,2095,142,1860,24,38,0,31,37,22,7,3,65,133,1839,24,38,0,3,32,17,7,3,1565,136,1330,13,26,0,22,31,18,7,3,49,127,1318,13,26,0,1,26,13,7,3,1055,977,78,226.48,0.35,4676.89,916512.42,22543116.0,21222.0,36959590.0,25016.0,25389209.0,21449.0,28899876.26,20823.0,39572111.0,26737.0,50187446.0,28943.5,9,6044.64,LOW_INCOME,LOW_INCOME,-56.48,36.38,DECREASE,LG_INCREASE
74,75,66.0,11001006600,1909,1876,1718,58,11,70,1,18,15,8,14,1,78,1659,56,10,70,1,4,14,8,13,1,1680,1525,50,10,58,1,15,10,7,9,0,60,1482,48,10,58,1,2,9,7,8,0,1143,1016,127,73.2,0.11,2663.24,296210.81,106170076.0,88338.0,117490965.0,80400.0,123630521.0,81172.0,136743813.0,87030.0,133316015.0,92949.0,138452048.0,90957.0,26,16691.78,MID_HIGH_INCOME,MID_HIGH_INCOME,155.13,2.96,LG_INCREASE,LG_INCREASE
75,76,67.0,11001006700,3775,3679,3077,452,11,114,2,23,33,23,48,4,147,2965,447,10,113,2,10,28,17,45,4,3283,2703,389,9,98,2,20,23,22,25,3,121,2609,386,9,97,2,8,18,17,24,3,2008,1866,142,105.83,0.17,3020.44,428268.46,217100355.0,85648.0,233122093.0,83000.0,249708355.0,86231.0,255796748.0,88571.0,284608649.0,99852.5,302416019.0,101467.5,26,22829.62,MID_HIGH_INCOME,HIGH_INCOME,247.3,18.47,LG_INCREASE,LG_INCREASE
76,77,68.01,11001006801,1949,1893,647,1192,3,31,0,20,30,12,25,1,74,607,1183,2,31,0,3,24,11,25,1,1687,574,1016,3,30,0,18,25,11,19,1,61,539,1011,2,30,0,3,21,10,18,1,977,880,97,60.43,0.09,2060.76,244571.59,52747534.0,48014.0,76178458.0,51207.5,59126678.0,48635.5,64998901.0,48317.0,79312724.0,58579.0,90648226.0,61861.0,26,20639.71,MID_INCOME,MID_INCOME,95.96,28.84,LG_INCREASE,LG_INCREASE
77,78,68.02,11001006802,2084,2029,937,1022,6,38,0,26,37,14,24,0,94,894,1009,5,36,0,8,22,8,21,0,1754,804,856,6,31,0,18,26,11,16,0,71,766,850,5,31,0,3,17,8,14,0,1004,921,83,69.84,0.11,2545.71,282614.43,73798559.0,58385.0,96128685.0,63716.0,84563148.0,61279.5,90361240.0,60771.5,106607317.0,69016.5,117623354.0,70190.0,26,19098.58,MID_INCOME,MID_HIGH_INCOME,96.9,20.22,LG_INCREASE,LG_INCREASE
78,79,68.04,11001006804,3670,3567,187,3225,29,21,1,104,75,41,25,11,315,91,3138,24,21,0,8,64,33,19,5,3396,186,2965,25,20,1,101,70,36,21,11,296,91,2894,20,20,0,7,59,28,15,5,13,12,1,499.92,0.78,6734.29,2023092.67,1427126.0,31692.0,1403283.0,15698.0,1213118.0,15245.0,1517968.0,16825.5,1893345.0,26956.0,1977861.0,21076.0,26,4698.38,MID_INCOME,LOW_INCOME,53.79,-33.5,LG_INCREASE,DECREASE
79,80,69.0,11001006900,2179,2121,1404,636,7,61,2,11,11,13,35,2,87,1340,630,6,61,2,6,9,6,32,2,1888,1234,548,6,52,2,7,9,10,23,1,68,1180,545,5,52,2,2,7,6,22,1,1190,1114,76,101.38,0.16,2860.13,410260.13,96831762.0,74417.0,117789037.0,79464.5,111579539.0,75970.0,124386107.0,78466.0,124366685.0,83717.0,136440279.0,86964.5,26,13756.11,MID_HIGH_INCOME,MID_HIGH_INCOME,227.93,16.86,LG_INCREASE,LG_INCREASE
80,81,70.0,11001007000,2812,2748,2209,433,8,65,4,29,23,11,31,3,162,2093,423,7,64,4,9,20,9,27,2,2596,2074,378,8,61,4,24,18,11,19,3,144,1968,371,7,60,4,5,16,9,18,2,1268,1195,73,103.88,0.16,2909.01,420375.51,105497762.0,75046.5,113568529.0,74503.0,116461048.0,73158.5,119493354.0,77934.0,126183172.0,81669.0,147508156.0,83749.0,26,17325.1,MID_HIGH_INCOME,MID_HIGH_INCOME,69.08,11.6,LG_INCREASE,LG_INCREASE
81,82,71.0,11001007100,2911,2807,977,1703,15,72,0,40,44,31,39,2,158,898,1691,15,71,0,7,36,21,32,2,2289,895,1209,12,70,0,31,32,26,24,2,119,830,1201,12,69,0,6,29,17,20,2,1461,1342,119,180.71,0.28,3852.78,731300.28,73551776.0,42529.0,90074658.0,44333.0,88319005.0,43479.0,89640055.0,41845.0,90963474.0,44853.0,100613150.0,49413.5,27,10309.66,MID_INCOME,MID_INCOME,8.21,16.19,LG_INCREASE,LG_INCREASE
82,83,6.0,11001000600,4539,4395,3878,225,10,207,2,73,51,23,65,9,332,3647,217,6,204,2,13,41,24,61,4,3812,3273,207,9,177,2,59,23,19,37,8,272,3087,199,6,176,2,4,18,18,36,3,2234,2108,126,356.51,0.56,5202.37,1442757.21,882856096.0,87171.0,413850238.0,81528.5,838428665.0,84947.0,887637225.0,91538.0,883701442.0,98902.5,1101811669.0,103485.0,15,8148.26,MID_HIGH_INCOME,HIGH_INCOME,298.4,18.71,LG_INCREASE,LG_INCREASE
83,84,7.01,11001000701,4620,4502,3848,235,18,288,4,109,37,13,60,13,407,3583,215,8,285,4,27,30,10,55,9,4255,3586,212,15,266,3,84,27,12,46,7,354,3342,198,7,263,3,17,20,9,42,7,3275,2974,301,135.86,0.21,3198.47,549812.29,268583555.0,68493.0,265927884.0,68775.0,291704733.0,68526.5,312019324.0,70192.5,302248205.0,72115.0,322343565.0,73385.0,14,21763.33,MID_HIGH_INCOME,MID_HIGH_INCOME,150.12,7.14,LG_INCREASE,LG_INCREASE
84,85,7.02,11001000702,3364,3259,2751,192,7,224,1,84,31,18,54,3,357,2511,180,3,217,1,16,25,9,49,2,3205,2642,183,7,211,1,69,26,15,48,2,318,2426,172,3,204,1,11,22,8,44,1,2471,2293,178,72.37,0.11,2738.8,292886.53,86235734.0,50407.0,121237434.0,56357.5,113045300.0,52965.0,116865629.0,55189.0,98468564.0,56642.5,117499800.0,58111.0,14,29747.77,MID_INCOME,MID_INCOME,161.99,15.28,LG_INCREASE,LG_INCREASE
85,86,8.01,11001000801,6709,6526,5719,316,5,374,1,111,58,13,118,5,572,5284,299,3,372,1,27,48,15,97,5,5691,4880,278,5,325,0,86,36,19,73,5,476,4506,266,3,323,0,18,30,15,69,5,3528,3207,321,760.1,1.19,8440.17,3075995.84,556165589.0,97849.5,429046240.0,94346.0,582273934.0,94581.0,932925890.0,99819.5,682255278.0,114495.0,762051697.0,122703.0,13,5648.98,MID_HIGH_INCOME,HIGH_INCOME,433.02,25.4,LG_INCREASE,LG_INCREASE
86,87,8.02,11001000802,2869,2775,2390,107,4,232,2,40,23,8,62,3,231,2211,98,3,232,2,10,19,6,61,3,2438,2043,89,4,207,2,34,17,8,32,3,187,1898,86,3,207,2,6,14,6,31,3,1423,1336,87,563.04,0.88,6636.14,2278559.52,211883023.0,89712.5,240968712.0,78663.0,288028817.0,83610.0,342246891.0,84441.0,354030099.0,94580.0,379610865.0,94907.0,13,3261.13,MID_HIGH_INCOME,MID_HIGH_INCOME,234.1,5.79,LG_INCREASE,LG_INCREASE
87,88,9.01,11001000901,7175,6946,6135,260,16,451,3,81,55,23,152,13,436,5807,249,12,447,3,22,52,22,138,10,6130,5204,233,16,432,3,64,40,22,117,13,382,4919,224,12,428,3,12,38,19,106,10,1661,1558,103,748.36,1.17,7095.7,3028522.18,610398683.0,166298.0,443181730.0,138978.5,674640174.0,153391.0,754404800.1,168203.0,760449847.0,189371.0,946256227.0,197155.0,13,6136.05,HIGH_INCOME,HIGH_INCOME,251.37,18.56,LG_INCREASE,LG_INCREASE
88,89,28.02,11001002802,4277,4043,1753,1069,51,181,2,987,65,37,40,9,1843,1125,1034,9,180,1,4,43,18,28,2,3568,1564,854,38,166,2,750,55,32,34,7,1412,1073,834,7,165,1,3,37,17,28,2,2142,1935,207,56.34,0.09,2102.61,228014.33,76017142.0,25506.0,113498858.0,31154.5,98267866.0,28033.5,104928617.0,28800.0,90869593.0,29954.0,111655848.0,34182.0,2,48581.94,LOW_INCOME,MID_INCOME,-2.05,34.02,DECREASE,LG_INCREASE
89,90,29.0,11001002900,3962,3719,1606,1246,29,125,5,708,52,28,48,11,1370,1159,1213,4,125,5,17,31,11,40,3,3364,1460,1038,20,112,5,542,36,25,34,11,1058,1099,1016,3,112,5,16,23,11,30,3,1643,1448,195,74.71,0.12,2357.4,302332.61,95743613.0,29736.0,137466819.0,37310.0,117975868.0,32774.0,132985526.0,35366.0,134545107.59,33953.5,158259296.0,36677.0,2,33941.21,LOW_INCOME,MID_INCOME,7.72,23.34,LG_INCREASE,LG_INCREASE
90,91,30.0,11001003000,3398,3247,1376,1455,5,125,5,281,74,41,46,9,532,1223,1409,2,124,2,7,61,30,43,3,2854,1328,1058,5,121,4,219,57,36,39,8,420,1195,1034,2,120,2,4,46,25,36,3,1599,1489,110,52.37,0.08,1881.22,211914.86,80525394.0,36678.5,108032013.0,42954.0,99841782.0,39491.0,114641347.26,40710.5,96242269.0,40821.0,113004657.0,45303.0,2,41529.79,MID_INCOME,MID_INCOME,11.36,23.51,LG_INCREASE,LG_INCREASE
91,92,31.0,11001003100,2885,2757,949,1086,18,101,0,603,38,24,20,11,1037,652,1056,1,97,0,6,22,9,16,4,2439,856,919,15,92,0,460,31,18,17,10,789,628,894,1,90,0,5,19,8,15,4,1131,1009,122,72.84,0.11,2574.26,294776.24,60468985.0,28420.0,96124283.0,35170.0,75002721.0,31472.5,86351514.2,34062.0,92848628.0,36878.0,109392822.0,39963.0,2,25348.43,LOW_INCOME,MID_INCOME,81.6,40.62,LG_INCREASE,LG_INCREASE
92,93,32.0,11001003200,4913,4803,1114,2917,22,92,1,657,56,32,16,1,1188,723,2836,14,92,1,9,37,19,13,0,3957,973,2313,18,83,1,485,40,24,14,1,876,689,2248,11,83,1,8,30,16,11,0,1840,1669,171,109.93,0.17,3050.48,444854.61,91044809.0,27905.5,119332154.0,31551.0,103489228.0,29164.0,117284066.0,29825.0,120006056.0,32218.0,139048784.0,35833.5,2,28603.98,LOW_INCOME,MID_INCOME,8.25,28.41,LG_INCREASE,LG_INCREASE
93,94,98.11,11001009811,4365,4293,13,4246,12,4,0,18,65,29,29,2,37,11,4228,10,4,0,12,58,24,26,1,2945,11,2864,9,4,0,14,37,22,15,2,25,9,2853,8,4,0,9,33,18,13,1,1979,1819,160,115.38,0.18,3543.4,466942.47,36490017.0,20544.0,41515657.0,18977.0,39029707.0,20337.0,39500324.0,18576.0,41258037.0,20195.5,44315187.0,20516.0,39,24211.33,LOW_INCOME,LOW_INCOME,-61.03,-0.14,DECREASE,DECREASE
94,95,99.01,11001009901,2249,2212,94,2094,15,3,0,6,30,11,6,4,39,74,2081,15,3,0,1,29,10,6,4,1876,84,1745,10,3,0,6,23,11,6,4,30,68,1737,10,3,0,1,22,10,6,4,1070,1007,63,519.4,0.81,5944.8,2101955.37,70749621.0,53475.0,68391309.0,49969.0,72050910.0,48382.0,71597532.0,51018.5,75281959.0,52425.0,78879964.0,51745.0,34,2771.17,MID_INCOME,MID_INCOME,69.45,-3.24,LG_INCREASE,DECREASE
95,96,99.02,11001009902,2905,2872,27,2813,12,3,0,17,30,12,8,0,44,24,2789,11,3,0,4,27,12,8,0,2273,25,2199,10,3,0,13,20,11,4,0,30,22,2182,10,3,0,3,20,11,4,0,1292,1175,117,319.87,0.5,5340.36,1294473.45,54350597.0,38024.0,57137569.0,37244.0,54368604.0,36560.0,59607982.49,40299.5,58509163.0,38499.5,62164914.0,38607.0,34,5812.34,MID_INCOME,MID_INCOME,-40.64,1.53,DECREASE,LG_INCREASE
96,97,99.03,11001009903,1851,1809,17,1774,3,2,0,13,40,23,5,0,30,16,1760,2,2,0,3,37,22,5,0,1358,15,1306,3,0,0,6,26,15,4,0,19,14,1297,2,0,0,2,23,14,4,0,722,644,78,92.87,0.15,3223.43,375826.17,32456553.32,33233.5,35118730.0,33430.0,32138301.0,32154.0,33996201.0,33445.5,36133543.0,33897.0,40012643.0,36360.5,33,12756.08,MID_INCOME,MID_INCOME,37.05,9.41,LG_INCREASE,LG_INCREASE
97,98,99.04,11001009904,2243,2215,63,2055,8,7,0,82,26,14,4,0,162,22,2024,6,7,0,1,19,14,4,0,1546,46,1417,8,3,0,51,19,11,3,0,98,19,1401,6,3,0,1,16,11,3,0,1137,874,263,104.97,0.16,2987.98,424782.84,26767870.0,26576.5,35494438.76,27487.0,27871815.0,26508.0,31120583.0,25681.5,34077779.0,28267.0,38243219.0,29601.5,33,13676.03,LOW_INCOME,LOW_INCOME,1.5,11.38,LG_INCREASE,LG_INCREASE
98,99,99.05,11001009905,2795,2729,24,2676,7,3,2,17,57,25,0,4,52,20,2656,7,3,2,2,49,24,0,4,2012,22,1933,6,3,2,12,31,18,0,3,29,19,1923,6,3,2,0,29,17,0,3,1330,1104,226,106.61,0.17,2908.05,431420.69,30819168.68,26468.0,36150350.0,27355.0,31738883.0,25668.0,34320695.0,25986.0,35638365.0,26497.0,40068077.0,28297.0,33,16779.48,LOW_INCOME,LOW_INCOME,-58.79,6.91,DECREASE,LG_INCREASE
99,100,99.06,11001009906,1296,1264,11,1241,3,3,0,6,28,15,3,0,31,8,1227,1,3,0,0,24,12,2,0,1001,11,956,2,3,0,6,19,12,2,0,23,8,948,1,3,0,0,16,10,2,0,756,592,164,61.27,0.1,2139.3,247946.58,16913306.0,27813.0,21931724.0,26833.0,17588909.0,26361.0,19399569.0,29004.0,22813412.0,28540.0,24288526.0,28732.0,33,13537.69,LOW_INCOME,LOW_INCOME,3.38,3.3,LG_INCREASE,LG_INCREASE
100,101,99.07,11001009907,2836,2789,13,2763,4,6,1,2,47,22,7,2,30,10,2746,3,6,1,0,40,22,7,2,1893,11,1847,2,4,1,2,26,13,3,0,21,8,1835,1,4,1,0,23,13,3,0,1176,1097,79,115.37,0.18,3177.06,466905.64,27930889.0,23122.0,31452975.28,22424.0,29040909.0,22048.5,30367917.47,21635.5,31646541.0,23380.0,33496320.0,23804.5,33,15731.67,LOW_INCOME,LOW_INCOME,-30.93,2.95,DECREASE,LG_INCREASE
101,102,101.0,11001010100,2621,2540,1672,393,4,388,2,81,25,22,33,2,298,1477,381,4,382,2,14,18,16,30,1,2529,1639,370,4,373,2,67,21,19,32,2,268,1457,360,4,367,2,14,15,14,29,1,2067,1794,273,143.25,0.22,3436.58,579695.11,94655251.0,55985.5,122209400.0,64721.0,108470412.0,59866.0,131214216.0,67512.0,92406308.0,66081.5,116764932.0,71341.0,8,11710.22,MID_INCOME,MID_HIGH_INCOME,29.62,27.43,LG_INCREASE,LG_INCREASE
102,103,102.0,11001010200,2324,2208,1132,918,8,118,1,31,78,37,28,1,138,1057,900,5,118,1,8,64,30,27,1,2193,1097,857,8,111,1,31,58,35,20,1,128,1029,839,5,111,1,8,47,30,19,1,1654,1465,189,342.52,0.54,5083.27,1386140.61,87260141.0,60379.5,103762693.0,62109.0,103406574.0,61275.0,111525170.0,63261.5,109619741.0,62140.0,135720406.0,67011.0,9,4342.37,MID_INCOME,MID_HIGH_INCOME,109.35,10.98,LG_INCREASE,LG_INCREASE
103,104,103.0,11001010300,3187,3057,725,1915,36,67,3,311,68,37,27,9,527,606,1872,17,66,3,14,61,25,25,3,2677,655,1623,31,62,3,216,53,29,13,8,384,559,1589,17,61,3,7,47,20,12,3,1306,1173,133,268.33,0.42,5400.81,1085875.88,67033876.8,35106.5,76672409.0,36564.5,70736519.0,35263.0,75275047.0,35107.0,80323393.0,36951.0,86842954.0,36933.0,16,7601.51,MID_INCOME,MID_INCOME,53.94,5.2,LG_INCREASE,LG_INCREASE
104,105,104.0,11001010400,4365,4281,129,4115,9,12,1,15,75,43,19,4,85,105,4082,7,12,1,0,67,41,17,3,3362,114,3157,7,10,1,13,55,33,9,4,64,98,3133,5,10,1,0,48,31,8,3,1828,1528,300,670.39,1.05,7779.67,2712959.59,41916212.0,26314.0,45848533.0,24753.0,44255870.0,25687.0,46502276.0,26338.0,47671783.0,25165.5,50092794.0,25363.0,39,4167.15,LOW_INCOME,LOW_INCOME,-0.43,-3.61,DECREASE,DECREASE
105,106,75.03,11001007503,2425,2388,39,2319,8,6,0,16,34,14,4,4,37,37,2308,2,6,0,3,30,14,4,4,1641,39,1561,5,5,0,13,16,12,1,3,22,37,1555,2,5,0,3,16,12,1,3,1000,857,143,123.49,0.19,2859.53,499757.27,26718856.0,24918.0,29135292.0,23253.0,28871602.0,24616.5,28340224.0,22439.5,30892418.0,22427.0,34675207.0,23658.0,28,12567.54,LOW_INCOME,LOW_INCOME,-36.67,-5.06,DECREASE,DECREASE
106,107,75.04,11001007504,2451,2406,25,2370,5,4,0,2,45,18,6,0,6,24,2370,5,4,0,0,42,17,6,0,1652,22,1589,3,4,0,2,32,12,4,0,6,21,1589,3,4,0,0,29,11,4,0,1215,1007,208,196.83,0.31,4403.7,796541.21,22978274.0,22252.0,28493704.0,20654.0,25984323.0,21037.0,27086707.0,19965.0,29579990.0,21006.5,31827145.0,22229.5,28,7969.53,LOW_INCOME,LOW_INCOME,-57.53,-0.1,DECREASE,DECREASE
107,108,19.02,11001001902,1969,1891,237,1537,2,24,0,91,68,29,10,0,179,177,1525,0,24,0,5,52,23,10,0,1625,201,1284,2,24,0,61,45,23,4,0,126,161,1275,0,24,0,3,31,18,4,0,861,807,54,219.47,0.34,3998.17,888161.87,58668759.0,46399.0,60643912.0,46000.5,59659989.0,47090.0,61493116.0,49240.0,67370032.0,49598.0,71508164.0,51168.0,17,5741.84,MID_INCOME,MID_INCOME,-30.73,10.28,DECREASE,LG_INCREASE
108,109,20.01,11001002001,2340,2244,598,1172,10,61,4,399,69,26,16,2,629,441,1138,6,58,4,10,43,20,11,1,1897,503,980,7,48,4,288,52,22,5,2,470,384,951,3,46,4,1,34,18,2,1,1026,915,111,156.38,0.24,4208.85,632853.43,74238446.0,32239.0,77796183.0,32255.0,72835604.0,33930.5,89402790.0,33028.0,89897212.0,31824.0,94288662.0,34251.0,18,9576.58,MID_INCOME,MID_INCOME,-37.65,6.24,DECREASE,LG_INCREASE
109,110,20.02,11001002002,3813,3611,778,2297,14,54,9,459,106,31,30,55,794,577,2247,9,53,2,36,75,25,29,11,2994,624,1869,12,48,9,303,69,26,14,39,541,487,1829,9,47,2,15,55,20,13,11,1436,1334,102,209.83,0.33,4418.37,849171.5,99551003.0,34078.0,111106825.0,34515.0,103023441.0,32810.0,116228210.0,33151.0,127883153.0,38577.0,137968594.0,39738.5,18,11629.72,MID_INCOME,MID_INCOME,-15.12,16.61,DECREASE,LG_INCREASE
110,111,21.01,11001002101,5309,5075,675,3301,34,99,9,957,128,47,26,6,1651,260,3203,13,95,1,6,72,36,17,4,4155,536,2685,24,77,6,658,88,33,17,6,1152,239,2619,7,74,1,2,54,25,12,4,2183,1983,200,148.53,0.23,3187.29,601064.24,94312486.76,26813.0,111940633.0,28176.5,100905873.0,27449.5,107570821.0,27870.5,112888946.0,29257.0,126189873.0,30443.0,18,22876.5,LOW_INCOME,MID_INCOME,-4.31,13.54,DECREASE,LG_INCREASE
111,112,21.02,11001002102,4648,4523,398,3583,15,27,0,500,110,47,15,3,724,278,3512,12,27,0,13,76,37,8,3,3652,334,2881,7,23,0,322,73,35,12,3,476,252,2834,6,23,0,4,51,28,7,3,2173,1900,273,179.36,0.28,3547.75,725863.83,92766959.97,32803.0,113649527.0,33861.5,103545279.0,33094.0,107590365.0,34640.0,119845798.0,36433.5,130031411.0,38248.0,18,16584.74,MID_INCOME,MID_INCOME,-44.13,16.6,DECREASE,LG_INCREASE
112,113,22.01,11001002201,3442,3354,432,2331,12,55,0,524,59,22,10,3,823,227,2281,4,55,0,10,36,20,8,2,2724,354,1903,9,47,0,352,38,18,6,3,569,198,1869,4,47,0,4,29,16,4,2,1186,1110,76,102.58,0.16,2575.7,415128.62,70400837.0,30903.0,85149168.0,32313.0,75036081.0,31369.5,79524709.0,31352.5,91456684.98,36545.0,100975796.0,38447.0,17,21474.64,MID_INCOME,MID_INCOME,-53.33,24.41,DECREASE,LG_INCREASE
113,114,22.02,11001002202,3087,2946,285,2177,26,28,1,429,105,34,19,19,648,174,2130,10,28,0,4,81,22,18,19,2440,232,1761,18,28,1,308,74,28,12,18,448,160,1727,9,28,0,4,56,17,11,18,1434,1272,162,171.85,0.27,3340.61,695457.04,53733218.0,29485.5,65242968.0,29500.0,59185960.0,31222.0,64348461.0,30895.0,68791897.0,31094.0,76191464.0,34486.0,19,11496.46,LOW_INCOME,MID_INCOME,-33.27,16.96,DECREASE,LG_INCREASE
114,115,93.02,11001009302,1189,1142,221,835,11,20,0,55,37,19,5,4,125,178,821,4,20,0,0,34,18,5,4,958,198,664,7,14,0,42,26,17,2,4,97,162,654,3,14,0,0,24,16,2,4,545,460,85,99.66,0.16,2780.14,403314.55,29300075.0,38413.0,32262752.0,38884.0,30980311.0,39454.0,31339082.0,40970.5,35745645.0,40877.0,38583475.0,40697.5,22,7635.47,MID_INCOME,MID_INCOME,-33.54,5.95,DECREASE,LG_INCREASE
115,116,23.01,11001002301,2974,2899,474,2137,20,37,2,229,44,15,12,18,402,371,2113,7,37,0,5,29,15,11,1,2398,416,1728,13,28,2,156,28,14,10,15,285,337,1710,6,28,0,4,18,14,9,1,1168,1069,99,101.95,0.16,2865.39,412569.39,66417176.0,37400.0,84654482.0,37194.5,74796443.0,36275.0,78771314.0,37362.0,98291254.0,41551.0,104003314.0,43663.0,18,18669.89,MID_INCOME,MID_INCOME,-32.82,16.75,DECREASE,LG_INCREASE
116,117,23.02,11001002302,2036,1983,1022,870,10,60,0,21,40,19,13,7,84,978,860,10,60,0,2,31,18,13,3,1915,1004,778,10,58,0,19,34,19,11,7,68,968,772,10,58,0,2,27,18,10,3,1573,1216,357,497.95,0.78,5876.14,2015113.17,26615661.0,30605.0,31103989.0,37487.0,29334569.0,33921.0,31213085.0,35344.0,28685547.0,39185.0,33413912.0,44461.0,21,2616.83,MID_INCOME,MID_INCOME,-47.0,45.27,DECREASE,LG_INCREASE
117,118,24.0,11001002400,3618,3524,793,2293,15,60,1,362,54,31,18,4,685,560,2240,5,60,1,8,39,26,16,3,2951,696,1864,11,54,1,247,46,30,12,4,494,517,1827,5,54,1,5,33,24,11,3,1384,1275,109,137.47,0.21,3265.93,556305.04,80149660.0,36059.0,106668159.0,38006.0,91479505.0,35654.0,103751959.0,37713.5,112743138.0,42453.0,129540107.0,44564.5,18,16844.31,MID_INCOME,MID_INCOME,-42.18,23.59,DECREASE,LG_INCREASE
118,119,25.01,11001002501,2554,2439,613,1432,11,25,4,354,50,26,19,32,589,463,1398,7,25,1,14,44,24,16,2,2092,514,1220,11,22,3,240,35,22,10,25,430,395,1191,7,22,1,8,30,20,9,2,1042,1004,38,134.28,0.21,3106.15,543408.7,63870734.0,31549.0,74481381.0,31627.5,69649528.0,29087.5,75809953.0,31390.0,79878737.0,34334.0,87120014.0,35144.0,18,12172.84,MID_INCOME,MID_INCOME,-49.13,11.39,DECREASE,LG_INCREASE
119,120,25.02,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.36,0.23,3238.91,604446.59,116055853.0,26090.0,156512610.0,32326.0,135667766.0,28524.0,149546963.97,30983.0,153589572.0,34494.0,184029268.0,37513.0,18,25593.66,LOW_INCOME,MID_INCOME,-49.17,43.78,DECREASE,LG_INCREASE
120,121,26.0,11001002600,2166,2074,916,1026,6,67,0,59,66,23,23,2,149,842,1017,6,67,0,12,57,16,22,2,1816,782,867,6,55,0,45,45,20,12,2,117,723,858,6,55,0,9,40,16,11,2,1001,947,54,547.65,0.86,9204.27,2216254.59,134692240.0,78044.0,120160981.0,74993.5,137593664.0,78133.0,150712513.0,79794.0,164390717.0,82203.0,170973446.0,81819.0,18,2531.26,MID_HIGH_INCOME,MID_HIGH_INCOME,57.68,4.84,LG_INCREASE,LG_INCREASE
