,OBJECTID,TRACT,GEOID,Total Population,Total Pop of 1 Race,Pop of 1 race: White,Pop of 1 race: Black,Pop of 1 race: American Indian Alaskan,Pop of 1 race: Asian,Pop of 1 race: Native Hawaiian Pacific Islander,Pop of 1 race: Other Race,Pop 2 or more races: Black and,Pop 2 or more races: American Indian Alaskan and,Pop 2 or more races: Asian and,Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Hispanic Population,Total Non-Minority Population (White Not Hispanic),Not Hispanic Pop of 1 race: Black,Not Hispanic Pop of 1 race: American Indian Alaskan,Not Hispanic Pop of 1 race: Asian,Not Hispanic Pop of 1 race: Native Hawaiian Pacific Islander,Not Hispanic Pop of 1 race: Other Race,Not Hispanic Pop 2 or more races: Black and,Not Hispanic Pop 2 or more races: American Indian Alaskan and,Not Hispanic Pop 2 or more races: Asian and,Not Hispanic Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Pop 18+,18+ Pop 1 race: White,18+ Pop 1 race: Black,18+ Pop 1 race: American Indian Alaskan,18+ Pop 1 race: Asian,18+ Pop 1 race: Native Hawaiian Pacific Islander,18+ Pop 1 race: Other race,18+ Pop 2 or more races: Black and,18+ Pop 2 or more races: American Indian Alaskan and,18+ Pop 2 or more races: Asian and,18+ Pop 2 or more races: Native Hawaiian Pacific Islander,Hispanic 18+ Pop,Non-Minority 18+ Pop (White Non-Hispanic),Not Hispanic 18+ Pop 1 race: Black,Not Hispanic 18+ Pop 1 race: American Indian Alaskan,Not Hispanic 18+ Pop 1 race: Asian,Not Hispanic 18+ Pop 1 race: Native Hawaiian Pacific Islander,Not Hispanic 18+ Pop 1 race: Other race,Not Hispanic 18+ Pop 2 or more races: Black and,Not Hispanic 18+ Pop 2 or more races: American Indian Alaskan and,Not Hispanic 18+ Pop 2 or more races: Asian and,Not Hispanic 18+ Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Housing Units,Occupied Housing Units,Vacant Housing Units,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015,NEIGHBORHOODCLUSTER,POPDENSITY,INCOME_LEVEL_2010,INCOME_LEVEL_2015,INCOME_CH_2005_2010,INCOME_CH_2010_2015,BIN_INCOME_CH_2005_2010,BIN_INCOME_CH_2010_2015
36,37,33.01,11001003301,3198,3072,959,1998,7,62,4,42,86,38,42,7,125,898,1972,6,62,3,17,80,36,41,7,2828,898,1724,6,61,4,38,64,26,35,7,111,846,1699,6,61,3,15,59,24,35,7,1578,1405,173,108.63,0.17,3304.15,439610.9,94626938.0,50955.5,118997087.0,52263.0,109592464.0,49060.5,119413477.0,51581.0,133621396.0,60466.0,152461285.0,64468.0,21,18841.17,MID_INCOME,MID_INCOME,125.75,26.52,LG_INCREASE,LG_INCREASE
37,38,33.02,11001003302,2134,2054,735,1216,7,41,0,55,57,21,20,0,128,687,1197,7,41,0,2,52,20,19,0,1856,695,1002,7,41,0,51,37,18,17,0,113,654,985,7,41,0,2,34,17,16,0,982,887,95,49.08,0.08,1890.79,198609.0,59721428.37,46371.0,82445643.83,51120.0,67070893.0,46580.5,76544783.24,49236.0,84411059.95,55925.0,98091822.0,61645.0,21,27828.72,MID_INCOME,MID_INCOME,-27.45,32.94,DECREASE,LG_INCREASE
38,39,88.04,11001008804,2412,2375,106,2183,7,3,0,76,31,12,12,0,130,68,2167,7,3,0,2,30,12,12,0,1883,87,1706,6,3,0,53,22,11,8,0,87,65,1694,6,3,0,2,21,11,8,0,1396,1096,300,194.51,0.3,3936.33,787135.45,27927495.0,24539.0,32464257.52,25106.5,27994707.0,23754.0,33989464.0,23998.5,36934360.0,26995.0,42225948.0,29627.0,23,7936.44,LOW_INCOME,LOW_INCOME,-50.36,20.73,DECREASE,LG_INCREASE
39,40,89.03,11001008903,2633,2591,48,2493,4,7,0,39,38,20,5,1,67,37,2481,3,7,0,5,31,18,5,1,1992,39,1884,4,7,0,29,25,11,2,1,49,31,1877,3,7,0,3,20,10,2,1,1399,1150,249,74.0,0.12,2991.03,299482.95,33732629.0,25168.0,50045860.0,29334.0,34354171.0,24295.0,42943277.0,25774.0,54736070.0,30255.0,61273301.0,33866.0,23,22770.71,LOW_INCOME,MID_INCOME,-2.1,34.56,DECREASE,LG_INCREASE
40,41,89.04,11001008904,3309,3249,33,3170,8,10,1,27,59,30,11,2,61,27,3154,8,10,0,0,48,27,8,1,2569,32,2461,8,8,1,20,38,19,6,1,46,26,2448,8,8,0,0,32,17,5,1,1788,1539,249,112.81,0.18,3121.44,456513.57,31336668.91,23070.5,38466036.9,23445.0,33444738.0,23349.5,35689645.63,23597.0,43140351.51,24356.5,47867201.0,26051.0,23,18773.31,LOW_INCOME,LOW_INCOME,-4.13,12.92,DECREASE,LG_INCREASE
41,42,90.0,11001009000,2732,2648,113,2431,6,68,0,30,74,31,19,1,76,100,2412,5,68,0,3,64,31,16,1,2430,104,2170,6,58,0,22,62,30,13,1,57,95,2156,5,58,0,2,54,30,11,1,1646,1553,93,359.72,0.56,5394.28,1455733.37,56150253.0,43111.0,65837807.73,47746.0,53740241.0,41497.0,61387829.0,44821.0,83619685.28,52520.0,94751459.0,57961.0,24,4860.68,MID_INCOME,MID_INCOME,-46.75,34.45,DECREASE,LG_INCREASE
42,43,91.02,11001009102,4127,4056,117,3820,11,13,0,95,51,20,9,3,173,95,3784,8,13,0,11,40,19,9,3,3039,107,2795,9,12,0,72,30,15,4,3,113,92,2778,7,12,0,7,27,15,4,3,1854,1662,192,453.5,0.71,6339.3,1835265.55,60148337.0,28156.0,77312944.0,28794.0,64202101.0,27377.0,74568845.91,28926.0,79762070.62,30721.5,89120109.76,31903.0,22,5824.16,LOW_INCOME,MID_INCOME,27.23,13.31,LG_INCREASE,LG_INCREASE
43,44,92.01,11001009201,1976,1905,737,1019,4,51,1,93,41,18,21,5,185,666,1006,3,50,1,13,37,14,18,5,1758,718,862,3,48,1,66,33,14,19,4,151,658,849,2,47,1,7,29,10,16,4,619,570,49,158.34,0.25,3334.45,640770.88,28052728.79,37114.0,45375827.82,38115.0,31932270.0,36529.5,41782385.02,37939.0,56482503.0,45173.0,66594041.0,48118.0,21,7986.97,MID_INCOME,MID_INCOME,0.65,29.65,LG_INCREASE,LG_INCREASE
44,45,92.03,11001009203,2582,2519,280,2117,7,40,2,73,57,22,5,4,167,247,2079,5,34,2,8,36,20,5,4,2109,260,1709,7,33,2,48,44,18,4,4,117,234,1683,5,30,2,4,30,16,4,4,1259,1065,194,145.12,0.23,3471.34,587284.49,48343832.0,32780.0,62405590.0,35161.0,53291874.0,32934.0,57854799.0,33801.0,70251210.0,38854.0,78432565.0,41301.0,21,11386.9,MID_INCOME,MID_INCOME,-34.45,25.99,DECREASE,LG_INCREASE
45,46,92.04,11001009204,2557,2503,170,2062,25,14,0,232,36,30,5,1,318,130,2044,8,14,0,4,32,26,5,1,2028,159,1638,24,14,0,152,30,23,5,1,216,126,1628,8,14,0,3,26,22,5,1,1369,1292,77,74.88,0.12,2526.5,303046.15,28552707.0,26231.0,34706643.0,26124.0,29833027.0,25945.0,33222221.0,25277.0,34168438.0,26411.0,37791141.0,28475.0,21,21853.44,LOW_INCOME,LOW_INCOME,1.68,8.55,LG_INCREASE,LG_INCREASE
46,47,72.0,11001007200,2794,2709,1670,862,4,144,0,29,38,20,30,6,155,1569,851,3,143,0,3,34,18,30,6,2658,1617,793,4,138,0,29,34,18,27,6,151,1518,782,3,137,0,3,31,17,27,6,2370,1830,540,405.67,0.63,5365.26,1641678.15,107909588.0,64030.0,186295174.0,70045.0,147535588.0,70485.5,183471831.0,74226.0,197488193.0,64040.0,247923152.0,69664.0,27,4407.94,MID_INCOME,MID_HIGH_INCOME,4.26,8.8,LG_INCREASE,LG_INCREASE
47,48,73.01,11001007301,3012,2818,1791,767,21,110,13,116,106,26,72,31,391,1605,717,18,102,13,10,87,21,67,29,2064,1293,511,18,81,11,76,38,17,25,12,236,1167,487,15,78,11,5,33,15,23,12,991,812,179,2439.89,3.81,17862.99,9873892.76,1673140.0,34010.0,3361568.0,40680.0,3109017.0,38200.0,3139475.0,40044.5,2419064.0,33378.5,4259994.0,47582.0,39,790.07,MID_INCOME,MID_INCOME,-30.39,39.91,DECREASE,LG_INCREASE
48,49,73.04,11001007304,3546,3513,41,3443,10,7,1,11,32,13,8,2,38,40,3420,9,7,1,3,27,13,8,2,2429,39,2347,6,7,1,10,18,9,4,2,24,38,2333,5,7,1,3,17,9,4,2,1376,1198,178,308.99,0.48,5527.04,1250420.73,36698222.0,22766.0,39995849.95,20922.0,37593142.0,22045.0,38956385.0,21596.0,42476757.47,22262.0,46570052.0,23679.0,38,7344.81,LOW_INCOME,LOW_INCOME,-35.23,4.01,DECREASE,LG_INCREASE
49,50,74.01,11001007401,2414,2393,17,2349,10,5,0,12,21,10,4,1,31,15,2342,8,5,0,0,13,6,4,1,1468,14,1425,7,4,0,8,10,4,1,1,20,12,1422,5,4,0,0,5,3,1,1,935,771,164,357.74,0.56,6378.84,1447713.42,16271306.0,18377.5,17706306.0,16504.5,16387522.0,17011.5,17334402.0,16731.0,14011455.0,17975.0,15637219.0,17739.0,37,4318.69,LOW_INCOME,LOW_INCOME,-31.24,-3.47,DECREASE,DECREASE
50,51,74.03,11001007403,2859,2835,12,2811,4,7,0,1,24,7,8,0,24,12,2792,2,6,0,0,23,7,8,0,1956,11,1918,3,7,0,1,16,4,6,0,12,11,1910,2,6,0,0,15,4,6,0,1180,1092,88,80.58,0.13,3174.08,326104.07,26534651.0,24468.0,27739508.0,22754.0,26480238.0,23187.0,26796677.0,22942.0,27476513.0,23605.0,29354682.0,23579.0,38,22706.79,LOW_INCOME,LOW_INCOME,8.34,-3.63,LG_INCREASE,DECREASE
51,52,74.04,11001007404,3310,3246,41,3165,4,8,0,28,58,34,9,2,64,31,3147,2,8,0,4,52,31,9,2,2100,29,2003,4,7,0,17,37,16,8,2,36,24,1993,2,7,0,2,35,15,8,2,1308,1106,202,199.12,0.31,4988.2,805826.46,35852862.0,26372.0,41892503.0,24785.5,39142259.0,26176.0,39740883.0,25212.0,42407920.0,25068.0,45389701.0,25906.5,38,10638.59,LOW_INCOME,LOW_INCOME,6.88,-1.77,LG_INCREASE,DECREASE
52,53,74.06,11001007406,3063,3028,20,2984,5,2,0,17,35,13,4,3,71,11,2950,5,2,0,4,20,11,2,1,1830,14,1779,3,2,0,11,21,10,3,2,35,10,1764,3,2,0,3,13,9,2,1,1066,985,81,91.35,0.14,2600.36,369697.79,18379045.0,19594.5,22222673.0,18214.5,20073849.0,18103.0,21564321.0,18133.0,23059323.0,21164.0,25139415.0,20219.0,37,21458.43,LOW_INCOME,LOW_INCOME,-9.39,3.19,DECREASE,LG_INCREASE
53,54,74.07,11001007407,2587,2551,32,2499,3,11,0,6,35,14,1,1,36,32,2469,3,11,0,3,33,14,1,1,1850,30,1778,3,7,0,5,26,11,1,1,22,30,1762,3,7,0,2,24,11,1,1,1203,1090,113,150.89,0.24,4692.19,610625.97,39030200.0,30728.0,43791436.0,29333.5,39577235.0,30210.0,44108527.0,29089.0,50949995.0,30110.0,56092745.0,32550.0,37,10972.84,MID_INCOME,MID_INCOME,51.6,5.93,LG_INCREASE,LG_INCREASE
54,55,74.08,11001007408,3038,3010,32,2964,7,4,0,3,28,15,0,1,32,26,2939,7,4,0,2,28,15,0,1,2027,27,1970,6,3,0,3,18,12,0,1,20,24,1954,6,3,0,2,18,12,0,1,1239,1053,186,94.49,0.15,3911.21,382391.55,21984988.0,20813.0,22774343.0,18636.0,22572738.0,19635.0,22553935.0,19045.0,23518853.0,20030.0,24612841.0,19793.5,36,20576.77,LOW_INCOME,LOW_INCOME,-18.16,-4.9,DECREASE,DECREASE
55,56,74.09,11001007409,3499,3455,20,3417,3,6,0,9,44,26,6,0,34,12,3399,3,6,0,4,41,25,6,0,2291,16,2229,2,4,0,9,31,21,5,0,23,10,2219,2,4,0,4,29,20,5,0,1507,1417,90,98.28,0.15,3046.21,397745.13,39191696.0,24851.0,40482342.0,21349.5,41624746.0,23520.0,41342314.0,21925.5,41640347.0,21652.0,44912587.0,23194.0,38,22784.36,LOW_INCOME,LOW_INCOME,1.68,-6.67,LG_INCREASE,DECREASE
56,57,75.02,11001007502,4541,4454,43,4380,4,8,0,19,86,35,22,3,57,34,4357,4,8,0,10,70,30,19,1,3251,41,3121,4,8,0,16,60,24,15,1,41,32,3107,4,8,0,8,50,20,12,1,1898,1677,221,152.15,0.24,4792.91,615728.45,45577412.0,25027.0,50022193.2,24720.0,47562189.0,24670.5,46735112.0,24116.5,46799965.0,23785.0,49214213.0,23715.0,36,19101.17,LOW_INCOME,LOW_INCOME,-5.55,-5.24,DECREASE,DECREASE
57,58,46.0,11001004600,3028,2929,816,1964,3,97,0,49,60,20,42,7,221,697,1929,3,96,0,7,45,14,36,5,2537,757,1560,3,94,0,39,53,16,35,6,167,668,1533,3,93,0,6,42,11,33,5,1465,1268,197,107.96,0.17,2900.63,436917.34,60318054.0,36871.0,93634428.0,41045.0,76955521.0,38515.0,84837124.0,39885.0,95317975.0,42801.0,109132266.0,46092.5,21,17949.58,MID_INCOME,MID_INCOME,32.1,25.01,LG_INCREASE,LG_INCREASE
58,59,47.01,11001004701,3986,3919,595,2754,19,530,1,20,45,27,23,4,108,549,2725,13,527,1,3,39,24,23,4,3066,580,1923,17,469,1,20,36,20,21,4,98,536,1900,12,466,1,3,31,18,21,4,2138,2002,136,79.37,0.12,2917.41,321218.2,62945849.0,27406.0,104928195.0,36630.0,78637972.0,29027.0,96427153.0,32836.0,106712117.0,36532.5,145902602.0,45305.0,8,32139.19,LOW_INCOME,MID_INCOME,18.4,65.31,LG_INCREASE,LG_INCREASE
59,60,47.02,11001004702,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,80.19,0.13,2950.76,324502.44,68048639.0,59074.0,106167879.0,69010.0,92778875.0,68605.0,108357349.0,67405.5,104919301.0,61331.0,138666390.0,69195.0,8,14382.51,MID_INCOME,MID_HIGH_INCOME,-32.67,17.13,DECREASE,LG_INCREASE
60,61,48.01,11001004801,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,78.45,0.12,2458.97,317459.98,63801222.0,47244.0,99227482.0,52484.0,76691024.0,48478.0,90035901.0,53570.0,109555605.0,60609.0,122287899.0,63711.0,7,17483.6,MID_INCOME,MID_INCOME,-17.65,34.86,DECREASE,LG_INCREASE
61,62,48.02,11001004802,2922,2845,866,1464,16,369,1,129,48,31,20,1,223,793,1457,9,368,0,6,45,30,18,1,2492,830,1176,13,303,1,106,36,26,19,0,186,767,1171,9,302,0,4,33,24,17,0,1561,1382,179,71.19,0.11,2192.32,288098.11,73241336.7,33975.5,115913258.0,41981.0,87920491.0,37146.5,108590991.38,40512.0,102577469.0,40676.0,119531192.0,45675.0,7,26268.64,MID_INCOME,MID_INCOME,-38.34,34.44,DECREASE,LG_INCREASE
62,63,49.01,11001004901,2087,2036,793,1075,14,94,1,59,30,13,21,0,178,686,1060,12,94,1,16,24,11,21,0,1696,730,794,14,80,1,38,23,12,16,0,128,652,786,12,80,1,5,19,11,16,0,1094,971,123,67.18,0.1,2112.99,271859.44,52574029.0,35398.0,77147230.0,44409.0,57630673.0,39410.0,66056089.0,43123.0,107168062.0,52044.0,136442151.0,59090.0,7,19882.72,MID_INCOME,MID_INCOME,-1.42,66.93,DECREASE,LG_INCREASE
63,64,49.02,11001004902,2690,2615,1330,812,11,166,6,290,21,9,26,6,468,1193,805,4,166,1,11,16,8,22,6,2354,1281,615,8,162,4,220,18,9,23,5,375,1162,610,3,162,1,5,14,8,20,5,1530,1417,113,65.2,0.1,2052.28,263858.92,98407326.0,44608.5,123680131.0,52213.5,116868349.0,50705.0,126553450.0,51963.0,123848559.0,53770.0,141451695.0,59191.5,7,26404.52,MID_INCOME,MID_INCOME,62.28,32.69,LG_INCREASE,LG_INCREASE
64,65,50.01,11001005001,1955,1893,1259,484,3,92,0,55,25,8,30,2,169,1161,474,1,92,0,9,23,8,25,0,1802,1195,429,3,87,0,42,22,8,21,0,140,1108,419,1,87,0,8,20,8,18,0,1003,952,51,50.59,0.08,2114.93,204730.72,94309397.0,67622.0,124100006.0,74090.0,114164264.0,69871.0,126820603.0,72566.5,122794751.0,70213.0,147289866.0,78133.0,7,24732.13,MID_HIGH_INCOME,MID_HIGH_INCOME,182.49,15.54,LG_INCREASE,LG_INCREASE
65,66,50.02,11001005002,6021,5799,3225,1152,33,328,5,1056,75,39,79,4,1676,2737,1120,15,326,4,15,50,27,73,4,5480,3128,1037,27,305,5,790,61,37,63,3,1340,2693,1008,15,303,4,8,42,27,58,3,3853,3475,378,57.7,0.09,2245.14,233487.21,192352559.0,39733.0,266261760.0,53208.0,250076730.0,48270.5,278673551.0,51141.0,219968978.0,53829.0,259592000.0,59810.5,7,66788.74,MID_INCOME,MID_INCOME,,50.53,LG_INCREASE,LG_INCREASE
66,67,52.01,11001005201,6077,5878,4398,775,20,442,19,224,65,47,99,8,612,4079,757,9,438,3,18,58,32,91,8,5811,4305,672,20,429,15,197,56,45,82,7,562,3999,656,9,425,3,16,49,32,78,7,4548,4200,348,83.94,0.13,2661.84,339676.46,268298733.0,66130.0,401961716.0,75149.0,360312493.0,70538.0,397149782.0,73528.0,376053670.0,76106.5,442277202.0,81647.5,7,46336.32,MID_HIGH_INCOME,MID_HIGH_INCOME,234.58,23.47,LG_INCREASE,LG_INCREASE
67,68,53.01,11001005301,5051,4902,4121,179,17,455,4,126,37,24,96,4,432,3847,171,7,451,2,16,29,19,92,4,4920,4039,169,16,442,4,116,34,22,84,4,413,3770,163,7,438,2,16,27,17,80,4,3890,3608,282,70.76,0.11,2322.24,286369.09,226732166.0,64826.0,288225330.0,72068.0,295640286.0,68569.0,343695487.0,71067.0,263936773.0,70086.5,326386690.0,76569.5,6,45682.41,MID_INCOME,MID_HIGH_INCOME,224.62,18.12,LG_INCREASE,LG_INCREASE
68,69,55.0,11001005500,6671,6454,5135,628,18,590,1,82,63,37,121,10,493,4752,613,13,586,1,24,58,30,117,10,6476,5000,611,17,574,1,76,57,36,108,10,474,4628,597,13,570,1,18,53,30,106,10,4983,4185,798,157.53,0.25,3987.97,637483.16,333923999.0,73032.0,409244354.0,78901.5,425105796.0,75480.0,505477215.0,77201.5,444403949.0,80908.0,536412412.0,81726.0,5,27103.16,MID_HIGH_INCOME,MID_HIGH_INCOME,258.9,11.9,LG_INCREASE,LG_INCREASE
69,70,56.0,11001005600,6756,6523,5107,517,13,797,0,89,105,47,130,7,428,4810,495,11,794,0,17,96,42,119,7,6629,5031,506,13,785,0,85,98,47,110,7,414,4742,484,11,782,0,17,89,42,100,7,4059,3347,712,117.38,0.18,4364.54,475029.08,167255800.0,63663.0,192250360.0,61943.5,208921431.0,59263.0,248986836.82,64756.0,203331811.0,67936.0,233194623.0,67328.0,5,36835.56,MID_INCOME,MID_HIGH_INCOME,177.66,5.76,LG_INCREASE,LG_INCREASE
