,OBJECTID_1,GIS_ID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,AREA,LEN,SHAPE_Length,SHAPE_Area,NEIGHBORHOODCLUSTER,INCOME_LEVEL_2005
46,47,Tract00_076,53.02,53.2,0.11,1559.02,175,2000 Tract 53.02,123,2,0.01,173,0.99,-9,2,-11,3,4,13,1,-4.89,184,175,-9,-0.05,130,7,0,8,0,0,23,81,0.66,53.2, ,2,19,0,2,0,1,21,82,0,82,16098043,0,16098043,20,79,41256035.0,238474.19,61414.0,43296410.0,60401.5,0,0,2690.54,290740.1,6,MID_INCOME
47,48,Tract00_077,54.01,54.1,0.12,12684.37,1462,2000 Tract 54.01,951,13,0.01,1449,0.99,374,289,2,5,109,29,14,34.38,1088,1462,374,0.34,1066,73,3,166,8,2,110,143,0.15,54.1, ,6,64,1,10,2,8,70,0,0,0,0,0,0,154,706,49092416.0,96071.26,48858.0,67320896.0,62070.0,0,0,2523.59,298521.5,6,MID_INCOME
48,49,Tract00_079,49.02,49.2,0.1,22438.16,2286,2000 Tract 49.02,1008,543,0.24,1743,0.76,712,187,393,28,36,208,120,45.24,1574,2286,712,0.45,246,1341,4,52,0,8,610,102,0.1,49.2, ,108,74,25,46,129,71,182,0,0,0,0,0,0,146,409,48846910.0,49240.84,35150.0,44909197.0,41528.0,0,0,2052.3,263861.62,7,MID_INCOME
49,50,Tract00_080,48.02,48.2,0.11,25647.25,2853,2000 Tract 48.02,1154,734,0.26,2119,0.74,-237,-10,-492,22,203,96,78,-7.67,3090,2853,-237,-0.08,149,2155,6,333,0,6,174,172,0.15,48.2, ,103,128,16,42,224,139,231,2,0,2,71715,0,71715,95,407,42851004.0,34008.73,26727.5,37853540.0,30076.0,0,0,2192.28,288105.28,7,LOW_INCOME
50,51,Tract00_081,96.02,96.2,0.52,5921.38,3106,2000 Tract 96.02,1302,1115,0.36,1991,0.64,634,3,609,20,11,27,11,25.65,2472,3106,634,0.26,8,3035,5,5,2,0,31,103,0.08,96.2, ,79,77,26,30,424,188,156,0,0,0,0,0,0,70,408,26282422.0,25467.46,22584.5,24300702.0,26314.0,0,0,4603.39,1358568.35,30,LOW_INCOME
51,52,Tract00_083,88.02,88.2,0.18,22839.57,4160,2000 Tract 88.02,1639,1074,0.26,3086,0.74,-612,36,-650,39,12,15,10,-12.82,4772,4160,-612,-0.13,49,3980,11,9,0,1,57,761,0.46,88.2, ,85,229,46,68,203,269,314,0,0,0,0,0,0,118,621,47721762.0,30261.1,24674.0,42330307.0,28226.0,0,0,2848.61,471753.44,23,LOW_INCOME
52,53,Tract00_085,89.03,89.3,0.12,20462.89,2396,2000 Tract 89.03,1040,637,0.27,1759,0.73,-961,15,-972,-1,8,17,15,-28.63,3357,2396,-961,-0.29,13,2315,2,13,0,1,35,330,0.32,89.3, ,54,117,33,51,177,151,171,0,0,0,0,0,0,67,390,27371506.0,25509.33,21625.0,25012562.0,25570.0,0,0,2988.68,303255.51,23,LOW_INCOME
53,54,Tract00_088,89.04,89.4,0.18,18427.32,3248,2000 Tract 89.04,1440,926,0.29,2322,0.71,-615,17,-637,13,9,-2,16,-15.92,3863,3248,-615,-0.16,27,3140,16,1,0,4,35,161,0.11,89.4, ,74,108,34,52,294,207,182,0,0,0,0,0,0,88,583,30357860.0,23138.61,20269.0,25919022.0,23373.0,0,0,3121.61,456509.13,23,LOW_INCOME
54,55,Tract00_181,78.07,78.7,0.21,9312.41,1911,2000 Tract 78.07,733,503,0.26,1408,0.74,-304,-9,-277,9,3,-12,-2,-13.72,2215,1911,-304,-0.14,8,1850,4,5,0,1,23,323,0.44,78.7, ,51,103,23,38,114,148,154,1,1,0,65392,65392,0,44,212,21697977.0,29440.95,25432.0,19199607.0,29075.5,0,0,3311.69,531501.09,31,LOW_INCOME
55,56,Tract00_090,78.09,78.9,0.2,13024.37,2667,2000 Tract 78.09,1142,652,0.24,2015,0.76,-134,29,-173,18,0,23,15,-4.78,2801,2667,-134,-0.05,31,2581,4,1,0,0,31,655,0.57,78.9, ,78,145,21,41,175,184,223,1,1,0,45000,45000,0,72,426,30108487.0,29118.46,24441.0,27477899.0,27992.0,0,0,3848.76,530364.25,31,LOW_INCOME
56,57,Tract00_093,57.01,57.1,0.15,28598.6,4361,2000 Tract 57.01,1292,29,0.01,4332,0.99,-795,-1097,71,0,260,19,43,-15.42,5156,4361,-795,-0.15,3132,291,7,651,10,10,201,89,0.07,57.1, ,11,48,2,16,3,13,59,0,0,0,0,0,0,226,973,14500952.0,34526.08,26498.5,15402827.0,38211.5,0,0,2716.98,394947.91,5,LOW_INCOME
57,58,Tract00_094,78.03,78.3,0.39,7940.01,3092,2000 Tract 78.03,1303,756,0.24,2336,0.76,-984,32,-998,4,2,14,10,-24.14,4076,3092,-984,-0.24,33,2995,2,5,0,1,32,633,0.49,78.3,Boundary Change,73,187,34,57,167,212,260,1,1,0,23760,23760,0,76,497,42115487.0,31689.61,27911.0,38299724.0,30868.0,0,0,4524.62,1008588.74,30,LOW_INCOME
58,59,Tract00_096,78.04,78.4,0.33,10297.69,3390,2000 Tract 78.04,1157,1048,0.31,2342,0.69,-232,-10,-208,2,6,2,13,-6.4,3622,3390,-232,-0.06,21,3316,5,5,0,0,19,491,0.42,78.4,Boundary Change,63,140,36,37,306,183,203,1,1,0,78000,78000,0,47,345,30553413.0,30191.12,23147.5,27378483.0,26841.0,0,0,4549.09,852630.67,31,LOW_INCOME
59,60,Tract00_097,57.02,57.2,0.1,0.0,0,2000 Tract 57.02,0,0,0.0,0,0.0,-16,-10,-6,0,0,-2,0,-100.0,16,0,-16,-1.0,0,0,0,0,0,0,0,0,0.0,57.2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323894.0,129105.22,87736.0,2397084.0,151185.0,0,0,2261.39,266718.16,5,MID_HIGH_INCOME
60,61,Tract00_098,83.01,83.1,0.12,19113.76,2243,2000 Tract 83.01,1162,217,0.1,2026,0.9,-103,36,-171,17,49,23,14,-4.39,2346,2243,-103,-0.04,1300,752,6,62,1,8,74,609,0.52,83.1, ,72,197,6,21,31,56,269,0,0,0,0,0,0,271,508,82321222.0,79078.98,57367.0,77003241.0,68620.0,0,0,2368.87,303941.26,25,MID_INCOME
61,62,Tract00_099,83.02,83.2,0.1,19420.17,1956,2000 Tract 83.02,885,255,0.13,1701,0.87,-8,62,-70,11,23,12,10,-0.41,1964,1956,-8,-0.0,1047,778,2,31,1,2,60,515,0.58,83.2, ,78,152,8,28,24,56,230,0,0,0,0,0,0,174,365,72796458.0,77443.04,55101.0,69520318.0,66869.0,0,0,2372.86,260872.23,25,MID_INCOME
62,63,Tract00_175,76.03,76.3,0.48,8864.77,4255,2000 Tract 76.03,2138,875,0.21,3380,0.79,-214,-465,315,34,-5,-64,-11,-4.79,4469,4255,-214,-0.05,265,3850,9,21,0,4,52,1056,0.49,76.3, ,156,320,43,60,252,231,476,0,0,0,0,0,0,104,972,87914118.0,46173.38,35907.5,75235327.0,39669.0,0,0,5010.05,1243169.62,35,MID_INCOME
63,64,Tract00_139,74.07,74.7,0.24,9941.77,2373,2000 Tract 74.07,898,784,0.33,1589,0.67,-774,25,-799,20,6,2,-6,-24.6,3147,2373,-774,-0.25,25,2293,8,8,0,0,25,308,0.34,74.7, ,79,111,32,37,213,129,190,0,0,0,0,0,0,51,246,27587429.0,30652.7,27488.5,25308982.0,30162.0,0,0,4807.99,618212.12,37,LOW_INCOME
64,65,Tract00_174,75.02,75.2,0.25,16966.12,4221,2000 Tract 75.02,1578,1445,0.34,2776,0.66,-173,-30,-126,23,17,-6,13,-3.94,4394,4221,-173,-0.04,42,4077,3,6,0,3,34,249,0.16,75.2, ,101,112,42,50,427,185,213,0,0,0,0,0,0,85,576,38218943.0,28736.05,23938.0,34295034.0,28529.0,0,0,4939.8,644372.92,36,LOW_INCOME
66,67,Tract00_141,74.06,74.6,0.14,22615.46,3227,2000 Tract 74.06,954,1545,0.48,1682,0.52,824,5,821,6,3,9,0,34.29,2403,3227,824,0.34,5,3187,5,0,0,0,22,44,0.05,74.6, ,71,43,29,27,477,163,114,0,0,0,0,0,0,23,121,20975882.0,23489.23,19765.0,18727730.0,23445.0,0,0,2591.04,369568.44,37,LOW_INCOME
67,68,Tract00_172,74.08,74.8,0.15,14873.31,2166,2000 Tract 74.08,768,898,0.41,1268,0.59,-903,-39,-853,12,0,-18,-6,-29.42,3069,2166,-903,-0.29,3,2136,0,0,0,0,10,92,0.12,74.8, ,45,64,21,30,273,97,109,0,0,0,0,0,0,39,199,18664369.0,22299.13,19970.0,17539493.0,23629.0,0,0,3795.1,377173.85,36,LOW_INCOME
68,69,Tract00_142,74.04,74.4,0.31,10603.44,3314,2000 Tract 74.04,947,1604,0.48,1710,0.52,-800,18,-813,12,1,26,8,-19.45,4114,3314,-800,-0.19,11,3256,2,0,0,0,30,67,0.07,74.4, ,50,47,24,18,452,150,97,0,0,0,0,0,0,31,175,21850437.0,23000.46,20349.0,19930246.0,24038.0,0,0,4958.71,809479.69,38,LOW_INCOME
69,70,Tract00_173,74.03,74.3,0.13,18224.89,2308,2000 Tract 74.03,862,828,0.36,1480,0.64,-141,18,-151,7,0,-1,5,-5.76,2449,2308,-141,-0.06,10,2250,6,1,0,9,14,115,0.13,74.3, ,57,72,35,29,253,134,129,0,0,0,0,0,0,65,217,24626629.0,24875.38,22928.0,22533743.0,26513.5,0,0,3225.82,328003.27,38,LOW_INCOME
70,71,Tract00_100,84.02,84.2,0.1,14536.68,1506,2000 Tract 84.02,1114,389,0.26,1117,0.74,-1257,-507,-730,7,-16,-27,26,-45.49,2763,1506,-1257,-0.45,51,1368,5,8,0,5,39,418,0.38,84.2, ,46,105,19,20,56,96,151,0,0,0,0,0,0,152,620,47048584.0,53403.61,39242.0,43911129.0,46246.0,0,0,2657.32,268335.87,26,MID_INCOME
71,72,Tract00_106,96.04,96.4,0.21,9364.96,1982,2000 Tract 96.04,944,362,0.18,1620,0.82,-282,9,-289,10,1,-1,3,-12.46,2264,1982,-282,-0.12,9,1935,7,1,0,0,17,668,0.71,96.4, ,36,156,14,49,94,172,192,0,0,0,0,0,0,53,370,32347731.0,34745.15,30758.0,28702698.0,32970.0,0,0,3080.45,548149.08,32,MID_INCOME
72,73,Tract00_107,96.03,96.3,0.25,13057.89,3230,2000 Tract 96.03,1613,677,0.21,2553,0.79,-101,1,-81,9,13,-1,2,-3.03,3331,3230,-101,-0.03,12,3138,7,8,2,1,29,489,0.3,96.3, ,88,199,37,53,193,213,287,0,0,0,0,0,0,68,762,42626708.0,30146.19,26859.0,38654227.0,30446.5,0,0,3920.21,640668.6,32,LOW_INCOME
73,74,Tract00_109,80.02,80.2,0.22,13906.81,3104,2000 Tract 80.02,1498,540,0.17,2564,0.83,-477,-23,-429,15,21,8,1,-13.32,3581,3104,-477,-0.13,767,2208,3,20,4,6,48,722,0.48,80.2, ,102,203,25,52,114,158,305,0,0,0,0,0,0,187,657,88292909.0,63292.41,48762.0,81882721.0,55279.5,0,0,3883.63,578091.23,26,MID_INCOME
74,75,Tract00_112,68.01,68.1,0.09,21152.42,1997,2000 Tract 68.01,875,417,0.21,1580,0.79,-421,-46,-351,13,2,-27,-7,-17.41,2418,1997,-421,-0.17,106,1840,3,8,0,1,20,432,0.49,68.1, ,42,115,20,30,75,133,157,0,0,0,0,0,0,69,391,35300947.0,43527.68,34625.0,31680438.0,39615.5,0,0,2063.05,244519.69,26,MID_INCOME
75,76,Tract00_114,77.03,77.3,0.39,11820.0,4615,2000 Tract 77.03,1834,1564,0.34,3051,0.66,-1049,-7,-1063,23,13,21,35,-18.52,5664,4615,-1049,-0.19,24,4419,12,6,3,1,104,382,0.21,77.3, ,111,176,54,48,479,265,287,5,5,0,328425,328425,0,76,625,53075538.0,27861.17,24661.0,49161742.0,27831.0,0,0,4509.71,1011244.08,32,LOW_INCOME
76,77,Tract00_115,99.06,99.6,0.1,16191.37,1550,2000 Tract 99.06,697,399,0.26,1151,0.74,-403,3,-402,9,4,-2,2,-20.64,1953,1550,-403,-0.21,10,1508,1,3,1,0,12,218,0.31,99.6, ,22,85,26,32,134,103,107,0,0,0,0,0,0,31,264,18379439.0,27805.51,24502.0,17125878.0,28932.5,0,0,2139.27,247941.04,33,LOW_INCOME
77,78,Tract00_179,99.03,99.3,0.15,14119.0,2081,2000 Tract 99.03,847,660,0.32,1421,0.68,-1056,13,-1067,20,7,2,6,-33.66,3137,2081,-1056,-0.34,3,2037,8,1,0,0,12,348,0.41,99.3, ,32,118,12,25,134,132,150,0,0,0,0,0,0,26,368,19459263.0,33960.32,29652.0,17967011.0,33310.0,0,0,3248.82,381741.55,33,LOW_INCOME
78,79,Tract00_116,99.04,99.4,0.16,11359.06,1863,2000 Tract 99.04,777,574,0.31,1289,0.69,-1460,17,-1468,7,7,6,-2,-43.94,3323,1863,-1460,-0.44,12,1810,6,0,2,0,17,81,0.1,99.4, ,35,81,28,29,176,101,116,0,0,0,0,0,0,55,272,14105124.0,23123.15,20607.5,12650130.0,23166.0,0,0,2988.06,424787.42,33,LOW_INCOME
