,OBJECTID_1,GIS_ID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,AREA,LEN,SHAPE_Length,SHAPE_Area,NEIGHBORHOODCLUSTER,INCOME_LEVEL_2005
89,90,Tract00_177,77.07,77.7,0.33,11502.68,3796,2000 Tract 77.07,1478,1044,0.28,2752,0.72,-402,1,-391,40,6,-3,-3,-9.58,4198,3796,-402,-0.1,22,3698,8,8,0,1,15,876,0.59,77.7, ,116,263,28,70,260,237,379,0,0,0,0,0,0,66,438,50221524.0,33548.11,27606.0,46739459.0,31279.0,0,0,4481.21,854736.36,33,LOW_INCOME
90,91,Tract00_176,99.02,99.2,0.5,5931.55,2993,2000 Tract 99.02,1194,664,0.22,2329,0.78,-302,-16,-274,2,16,13,8,-9.16,3295,2993,-302,-0.09,49,2869,5,2,2,3,29,898,0.75,99.2, ,97,272,17,44,131,232,369,0,0,0,0,0,0,41,360,47013176.0,37282.46,32936.0,43916609.0,36370.5,0,0,5356.87,1306896.49,34,MID_INCOME
91,92,Tract00_129,60.02,60.2,0.06,9435.13,608,2000 Tract 60.02,148,312,0.51,296,0.49,-183,-1,-189,8,5,-7,1,-23.14,791,608,-183,-0.23,7,581,3,2,0,0,8,4,0.03,60.2, ,14,3,2,1,70,46,17,0,0,0,0,0,0,2,10,2710650.0,17951.32,15650.0,2476177.0,18892.0,0,0,1688.37,166905.84,9,LOW_INCOME
92,93,Tract00_130,76.01,76.1,0.49,9376.35,4572,2000 Tract 76.01,1878,1120,0.24,3452,0.76,-654,-94,-545,12,-7,19,19,-12.51,5226,4572,-654,-0.13,108,4367,7,3,0,2,57,834,0.44,76.1, ,134,277,47,81,267,299,411,0,0,0,0,0,0,117,656,58701354.0,31492.14,25778.0,54274171.0,30075.5,0,0,4751.11,1262909.88,34,LOW_INCOME
93,94,Tract00_131,63.01,63.1,0.14,27210.59,3822,2000 Tract 63.01,2504,435,0.11,3387,0.89,99,-358,447,35,51,64,76,2.66,3723,3822,99,0.03,1361,2094,14,67,0,13,169,1469,0.59,63.1, ,78,315,19,26,137,135,393,0,0,0,0,0,0,145,1649,126652468.0,68313.09,52720.0,118065764.0,58085.0,0,0,2646.02,363786.9,9,MID_INCOME
94,95,Tract00_133,76.04,76.4,0.53,7129.33,3764,2000 Tract 76.04,1747,841,0.22,2923,0.78,-523,-90,-426,18,2,-35,4,-12.2,4287,3764,-523,-0.12,138,3546,7,13,0,13,22,643,0.37,76.4, ,128,261,37,61,224,215,389,1,1,0,100000,100000,0,117,704,64471797.0,41973.83,31557.5,58431109.0,36647.0,0,0,5311.7,1367407.11,35,MID_INCOME
95,96,Tract00_025,6.0,6.0,0.56,8830.76,4919,2000 Tract 6,2144,638,0.13,4281,0.87,-41,-256,240,14,63,-97,8,-0.83,4960,4919,-41,-0.01,3669,623,13,176,0,21,331,1375,0.64,6.0, ,328,440,8,13,33,58,768,1,1,0,537000,537000,0,261,1003,320496933.0,149764.92,64058.0,372544504.0,77987.0,0,0,5202.28,1442696.58,15,MID_INCOME
96,97,Tract00_029,32.0,32.0,0.17,26238.73,4480,2000 Tract 32,1554,1202,0.27,3278,0.73,-381,203,-772,41,6,350,293,-7.84,4861,4480,-381,-0.08,69,3628,25,9,0,5,670,864,0.56,32.0, ,169,208,31,72,235,280,377,0,0,0,0,0,0,123,436,59583903.0,30602.93,24249.0,53901911.0,28908.0,0,0,2989.7,442212.69,2,LOW_INCOME
97,98,Tract00_030,29.0,29.0,0.12,35913.92,4189,2000 Tract 29,1394,1059,0.25,3130,0.75,98,448,-1084,55,53,1001,961,2.4,4091,4189,98,0.02,177,2227,12,46,0,15,1610,561,0.4,29.0, ,206,149,52,65,130,164,355,0,0,0,0,0,0,193,435,60110281.0,36652.61,26183.0,54802450.0,30374.0,0,0,2350.52,302098.38,2,LOW_INCOME
98,99,Tract00_039,4.0,4.0,0.62,2436.43,1510,2000 Tract 4,649,221,0.15,1289,0.85,191,144,21,-1,14,9,57,14.48,1319,1510,191,0.14,1189,66,1,88,0,2,123,441,0.68,4.0, ,113,201,0,7,6,20,314,0,0,0,0,0,0,64,238,173381288.0,341301.75,64233.0,154944162.0,83773.5,0,0,5830.67,1605178.32,15,MID_INCOME
99,100,Tract00_040,30.0,30.0,0.08,34947.5,2829,2000 Tract 30,1039,861,0.3,1968,0.7,187,217,-233,6,41,347,234,7.08,2642,2829,187,0.07,213,1873,5,27,0,6,663,245,0.24,30.0, ,108,83,24,39,228,112,191,0,0,0,0,0,0,113,332,44475997.0,38742.16,26903.5,39460019.0,32762.0,0,0,1853.64,209650.59,2,LOW_INCOME
100,101,Tract00_185,90.0,90.0,0.57,3974.08,2263,2000 Tract 90,1449,307,0.14,1956,0.86,81,-14,104,17,5,-7,10,3.71,2182,2263,81,0.04,13,2184,6,3,0,2,27,457,0.32,90.1,Number Change,57,131,7,32,86,119,188,0,0,0,0,0,0,34,983,30950115.0,41321.92,33476.0,27588267.0,38227.0,0,0,5486.94,1474849.43,24,MID_INCOME
101,102,Tract00_041,39.0,39.0,0.15,30036.23,4643,2000 Tract 39,2854,376,0.08,4267,0.92,50,607,-474,46,148,-71,-66,1.09,4593,4643,50,0.01,2502,864,19,242,4,13,876,736,0.26,39.0, ,133,288,12,34,53,96,421,0,0,0,0,0,0,472,1766,142805712.0,55653.04,43192.0,137029005.0,51561.0,0,0,3302.24,400359.82,1,MID_INCOME
102,103,Tract00_042,34.0,34.0,0.41,10255.36,4249,2000 Tract 34,1058,543,0.13,3706,0.87,-331,79,-406,25,30,25,57,-7.23,4580,4249,-331,-0.07,112,3867,4,31,0,15,129,351,0.33,34.0, ,42,92,17,45,143,134,134,12,12,0,540000,540000,0,134,451,34486350.0,39233.62,28841.0,32946023.0,35791.0,0,0,4741.43,1073095.92,3,LOW_INCOME
103,104,Tract00_045,35.0,35.0,0.15,23726.51,3498,2000 Tract 35,834,494,0.14,3004,0.86,1276,135,1006,31,48,220,215,57.43,2222,3498,1276,0.57,84,2895,8,32,0,5,371,233,0.28,35.0, ,57,76,12,38,81,101,133,0,0,0,0,0,0,65,404,27171352.0,29727.96,22806.0,24827562.0,28007.0,0,0,2982.5,381843.23,3,LOW_INCOME
104,105,Tract00_048,37.0,37.0,0.11,44116.35,4990,2000 Tract 37,1792,1163,0.23,3827,0.77,-450,679,-1084,22,60,437,53,-8.27,5440,4990,-450,-0.08,428,2729,13,93,0,20,1629,161,0.09,37.0, ,174,138,41,76,309,140,312,0,0,0,0,0,0,220,694,64438008.0,36099.72,26428.0,58389340.0,30778.5,0,0,2320.13,292953.75,2,LOW_INCOME
105,106,Tract00_050,38.0,38.0,0.14,34342.7,4718,2000 Tract 38,2445,790,0.17,3928,0.83,217,601,-641,36,94,375,350,4.82,4501,4718,217,0.05,1652,1467,20,142,2,10,1307,536,0.22,38.0, ,168,214,35,49,148,102,382,17,0,17,731150,0,731150,396,1333,137575702.0,58767.92,39346.0,130491775.0,46043.5,0,0,2708.31,355806.49,1,MID_INCOME
106,107,Tract00_054,3.0,3.0,0.41,14034.83,5706,2000 Tract 3,2784,489,0.09,5217,0.91,-32,-161,3,20,191,40,74,-0.56,5738,5706,-32,-0.01,4727,170,7,327,2,17,324,1331,0.48,3.1,Number Change,261,506,12,35,52,67,767,1,1,0,188876,188876,0,674,1177,269137973.0,104560.21,52394.0,271067501.0,64574.0,0,0,4104.81,1052993.84,14,MID_INCOME
107,108,Tract00_057,41.0,41.0,0.31,8310.16,2570,2000 Tract 41,1585,159,0.06,2411,0.94,-229,-172,-20,7,32,-33,-25,-8.18,2799,2570,-229,-0.08,2083,95,2,162,4,7,175,771,0.49,41.0, ,79,346,3,9,3,21,425,0,0,0,0,0,0,193,931,237514138.0,191081.37,66980.0,268324497.0,84529.0,0,0,3800.39,800980.73,1,MID_HIGH_INCOME
108,109,Tract00_058,44.0,44.0,0.2,12853.1,2589,2000 Tract 44,1144,403,0.16,2186,0.84,-359,349,-705,12,32,-8,39,-20.56,1746,2589,-359,-0.12,634,1502,7,50,0,10,325,515,0.45,44.0,Tracts Combined,71,132,14,42,70,102,203,3,0,3,100000,0,100000,255,458,125675000.0,69819.44,51706.5,122685337.0,63285.0,0,0,2944.72,521700.64,3,MID_INCOME
109,110,Tract00_059,43.0,43.0,0.09,36011.38,3290,2000 Tract 43,1755,517,0.16,2773,0.84,7,347,-449,30,50,244,188,0.21,3283,3290,7,0.0,1107,1266,11,67,7,9,732,434,0.25,43.0, ,101,138,26,39,104,83,239,0,0,0,0,0,0,279,985,92674636.0,55065.14,40148.0,97116292.0,46407.0,0,0,2045.43,236629.1,3,MID_INCOME
110,111,Tract00_068,46.0,46.0,0.17,17754.74,2997,2000 Tract 46,1081,805,0.27,2192,0.73,-626,-65,-602,17,28,5,54,-17.28,3623,2997,-626,-0.17,76,2688,14,39,1,3,144,494,0.46,46.0, ,77,95,27,43,179,181,172,0,0,0,0,0,0,108,371,42335170.0,37038.64,28020.0,40189671.0,33100.5,0,0,2890.68,437179.89,21,LOW_INCOME
111,112,Tract00_069,55.0,55.0,0.24,19220.69,4696,2000 Tract 55,3273,142,0.03,4554,0.97,623,363,87,22,239,41,52,15.3,4073,4696,623,0.15,3531,377,15,386,1,15,271,1102,0.34,55.1,Tracts Combined,74,343,8,18,10,37,417,0,0,0,0,0,0,464,2319,233932343.0,100142.27,58711.5,246144892.0,73143.0,0,0,3982.84,632777.45,5,MID_INCOME
112,113,Tract00_092,58.0,58.0,0.35,4157.59,1470,2000 Tract 58,925,96,0.07,1374,0.93,683,664,49,2,-24,18,13,86.78,787,1470,683,0.87,697,199,1,490,1,3,62,215,0.23,58.0, ,47,177,5,15,6,15,224,0,0,0,0,0,0,43,617,104490432.0,92963.02,66217.0,107534943.0,86001.0,0,0,4132.85,915740.24,8,MID_HIGH_INCOME
113,114,Tract00_095,59.0,59.0,0.25,7466.41,1856,2000 Tract 59,642,189,0.1,1667,0.9,-100,-52,-73,15,49,8,39,-5.11,1956,1856,-100,-0.05,155,1502,4,59,1,9,75,8,0.01,59.0, ,24,45,3,12,46,33,69,49,0,49,4400000,0,4400000,43,436,52478365.0,59364.67,44183.5,52654514.0,60468.5,0,0,3377.5,643814.33,8,MID_INCOME
114,115,Tract00_105,81.0,81.0,0.11,22394.54,2527,2000 Tract 81,1339,253,0.1,2274,0.9,-209,117,-339,21,17,3,45,-7.64,2736,2527,-209,-0.08,1511,813,5,43,2,17,75,695,0.52,81.1,Number Change,92,254,14,34,20,57,346,5,5,0,950000,950000,0,229,639,107888708.0,83894.8,57799.5,107527630.0,68658.0,0,0,2331.49,292261.31,25,MID_INCOME
115,116,Tract00_108,82.0,82.0,0.13,19075.54,2505,2000 Tract 82,1525,138,0.06,2367,0.94,-190,-181,-8,22,2,10,18,-7.05,2695,2505,-190,-0.07,2151,166,17,45,4,9,79,592,0.39,82.0, ,76,229,1,17,16,23,305,0,0,0,0,0,0,280,883,99196094.0,85958.49,55675.0,98746287.0,70724.0,0,0,3038.88,340121.13,26,MID_INCOME
116,117,Tract00_110,66.0,66.0,0.11,16033.87,1837,2000 Tract 66,1057,146,0.08,1691,0.92,46,42,-12,5,35,3,12,2.57,1791,1837,46,0.03,1595,87,4,65,1,6,55,500,0.47,66.0, ,76,230,3,6,16,22,306,0,0,0,0,0,0,188,516,78310811.0,93897.85,57740.0,77546123.0,74393.0,0,0,2661.37,296745.36,26,MID_INCOME
117,118,Tract00_111,67.0,67.0,0.17,21425.98,3543,2000 Tract 67,1877,346,0.1,3197,0.9,63,263,-196,6,31,75,45,1.81,3480,3543,63,0.02,2469,801,6,56,0,14,139,1084,0.58,67.1,Number Change,157,375,8,24,41,79,532,0,0,0,0,0,0,388,805,174645637.0,102311.45,62369.0,168983179.0,75773.0,0,0,3020.63,428276.01,26,MID_INCOME
118,119,Tract00_117,65.0,65.0,0.19,12587.05,2422,2000 Tract 65,1393,173,0.07,2249,0.93,26,-35,11,16,56,14,22,1.08,2396,2422,26,0.01,1980,230,10,85,5,6,70,570,0.41,65.1,Number Change,80,231,6,10,16,34,311,0,0,0,0,0,0,285,731,99925957.0,88744.19,62019.0,98146096.0,74461.0,0,0,3384.67,498361.63,26,MID_INCOME
119,120,Tract00_119,61.0,61.0,0.18,12996.55,2300,2000 Tract 61,1483,220,0.1,2080,0.9,242,-256,505,32,-7,43,57,11.76,2058,2300,242,0.12,699,1343,8,59,2,6,125,346,0.23,61.0, ,54,172,13,20,64,69,226,0,0,0,0,0,0,143,948,56596010.0,61651.43,51329.0,55240071.0,57866.5,0,0,3185.09,458351.03,9,MID_INCOME
120,121,Tract00_121,69.0,69.0,0.16,11704.55,1854,2000 Tract 69,971,192,0.1,1662,0.9,-224,0,-208,4,15,20,5,-10.78,2078,1854,-224,-0.11,731,988,4,32,2,2,68,554,0.57,69.0, ,52,164,10,20,29,85,216,0,0,0,0,0,0,163,448,70432468.0,71000.47,49494.5,63249585.0,59514.0,0,0,2860.3,410267.15,26,MID_INCOME
121,122,Tract00_124,70.0,70.0,0.17,12649.82,2132,2000 Tract 70,1048,169,0.08,1963,0.92,-18,-71,35,12,18,21,30,-0.84,2150,2132,-18,-0.01,1450,483,7,51,2,3,104,536,0.51,70.1,Number Change,50,192,7,18,37,38,242,0,0,0,0,0,0,229,477,86410290.0,77637.28,54294.0,84652785.0,65452.0,0,0,2949.52,436520.47,26,MID_INCOME
122,123,Tract00_164,17.01,17.1,0.24,12461.69,2968,2000 Tract 17.01,1240,593,0.2,2375,0.8,-19,50,-142,14,6,173,172,-0.64,2987,2968,-19,-0.01,274,2260,5,56,1,15,292,622,0.5,17.1, ,114,214,23,47,106,160,328,1,1,0,44000,44000,0,108,468,54513869.0,44392.4,32512.5,49959183.0,35895.0,0,0,3940.28,616849.38,17,MID_INCOME
123,124,Tract00_163,17.02,17.2,0.37,6101.71,2240,2000 Tract 17.02,975,380,0.17,1860,0.83,-364,-47,-297,25,1,40,32,-13.98,2604,2240,-364,-0.14,391,1625,6,24,0,3,128,681,0.7,17.2, ,106,234,18,26,58,89,340,0,0,0,0,0,0,86,358,64355826.0,55383.67,42923.5,61951765.0,48509.0,0,0,4890.1,950817.87,17,MID_INCOME
124,125,Tract00_002,18.03,18.3,0.45,6873.82,3066,2000 Tract 18.03,1504,591,0.19,2475,0.81,323,202,-149,29,42,461,344,11.78,2743,3066,323,0.12,171,2104,6,49,1,9,646,306,0.2,18.3, ,181,211,29,59,114,125,392,0,0,0,0,0,0,82,703,60905198.0,37619.02,26874.0,56194070.0,30926.5,0,0,4651.92,1155251.97,17,LOW_INCOME
125,126,Tract00_167,14.01,14.1,0.31,10256.24,3150,2000 Tract 14.01,1460,626,0.2,2524,0.8,73,40,20,8,79,62,3,2.37,3077,3150,73,0.02,2506,151,1,206,2,6,222,767,0.53,14.1, ,300,335,10,19,53,47,635,1,1,0,125000,125000,0,116,580,182657821.0,130190.89,58018.0,170621836.0,72305.0,0,0,4029.65,795470.25,10,MID_INCOME
126,127,Tract00_162,95.05,95.5,0.41,6559.27,2671,2000 Tract 95.05,1155,452,0.17,2219,0.83,-461,-66,-384,14,-5,23,36,-14.72,3132,2671,-461,-0.15,65,2486,2,8,0,5,62,949,0.82,95.5, ,85,298,14,43,70,207,383,0,0,0,0,0,0,32,406,57755232.0,43588.85,38622.0,54462286.0,43489.0,0,0,4618.61,1054680.06,19,MID_INCOME
127,128,Tract00_004,19.02,19.2,0.34,6083.49,2062,2000 Tract 19.02,816,347,0.17,1715,0.83,-448,6,-456,22,-1,32,50,-17.85,2510,2062,-448,-0.18,101,1833,5,7,0,1,63,670,0.82,19.2, ,79,198,7,44,49,144,277,0,0,0,0,0,0,58,237,45614951.0,50347.63,37192.5,41354905.0,44719.5,0,0,3993.63,877882.64,17,MID_INCOME
128,129,Tract00_005,19.01,19.1,0.3,13256.57,3949,2000 Tract 19.01,1511,795,0.2,3154,0.8,-434,45,-509,24,1,110,102,-9.9,4383,3949,-434,-0.1,80,3547,9,9,1,0,243,1212,0.8,19.1, ,154,347,20,61,123,291,501,0,0,0,0,0,0,73,442,75554690.0,41062.33,31852.0,67590553.0,37368.0,0,0,3676.52,771530.62,17,MID_INCOME
129,130,Tract00_006,14.02,14.2,0.35,11356.73,3925,2000 Tract 14.02,1232,464,0.12,3461,0.88,1062,727,272,33,59,55,56,37.09,2863,3925,1062,0.37,2948,550,11,141,0,11,206,833,0.68,14.2, ,238,293,4,21,32,42,531,0,0,0,0,0,0,102,500,153399794.0,119284.44,75968.0,151163181.0,88951.0,0,0,4867.87,895129.73,10,MID_HIGH_INCOME
130,131,Tract00_007,20.01,20.1,0.24,10060.32,2435,2000 Tract 20.01,1028,435,0.18,2000,0.82,10,66,-181,16,4,267,207,0.41,2425,2435,10,0.0,358,1485,3,33,2,12,496,342,0.33,20.1, ,124,141,18,38,67,111,265,1,1,0,350000,350000,0,112,417,50719222.0,50769.99,30117.0,48025140.0,33901.0,0,0,4143.17,626872.89,18,MID_INCOME
131,132,Tract00_161,95.07,95.7,0.12,12984.92,1533,2000 Tract 95.07,648,283,0.18,1250,0.82,-153,-12,-155,0,11,0,17,-9.07,1686,1533,-153,-0.09,9,1480,1,11,0,9,10,526,0.81,95.7, ,56,165,9,19,54,117,221,0,0,0,0,0,0,24,204,29914772.0,41490.67,36975.0,27840753.0,41171.0,0,0,2518.49,305788.34,19,MID_INCOME
132,133,Tract00_010,20.02,20.2,0.33,11532.71,3781,2000 Tract 20.02,1278,810,0.21,2971,0.79,-211,119,-513,36,25,404,273,-5.29,3992,3781,-211,-0.05,325,2697,14,40,2,22,583,862,0.67,20.2, ,171,246,27,62,83,210,417,0,0,0,0,0,0,113,366,76218718.0,47282.08,31811.0,68709644.0,36198.0,0,0,4380.43,849134.49,18,MID_INCOME
133,134,Tract00_011,21.01,21.1,0.23,22639.96,5233,2000 Tract 21.01,1938,1294,0.25,3939,0.75,-54,238,-714,33,51,623,534,-1.02,5287,5233,-54,-0.01,65,4188,13,45,5,10,812,842,0.43,21.1, ,209,288,60,88,205,317,497,0,0,0,0,0,0,131,640,70592381.0,31346.53,25446.0,63575823.0,29245.0,0,0,3146.97,598645.98,18,LOW_INCOME
134,135,Tract00_159,10.01,10.1,0.96,6325.72,6062,2000 Tract 10.01,2548,1242,0.2,4820,0.8,-258,-172,-42,24,31,-33,27,-4.08,6320,6062,-258,-0.04,5216,193,10,217,4,17,323,1988,0.78,10.1, ,658,727,20,36,57,77,1385,0,0,0,0,0,0,247,726,356721134.0,129528.37,83217.0,371263969.0,97920.0,0,0,6512.15,2482029.82,11,MID_HIGH_INCOME
135,136,Tract00_012,21.02,21.2,0.28,16524.53,4631,2000 Tract 21.02,2000,962,0.21,3669,0.79,-458,30,-633,37,5,202,223,-9.0,5089,4631,-458,-0.09,74,4114,14,18,2,4,345,1149,0.57,21.2, ,179,335,42,74,188,315,514,0,0,0,0,0,0,123,744,79627948.0,37560.35,30099.0,73303270.0,34322.0,0,0,3547.74,725855.74,18,MID_INCOME
136,137,Tract00_188,95.08,95.8,0.34,8295.39,2860,2000 Tract 95.08,1309,496,0.17,2364,0.83,-221,-7,-231,21,14,27,29,-7.17,3081,2860,-221,-0.07,25,2726,4,13,0,10,41,761,0.58,95.8, ,72,317,20,38,104,206,389,0,0,0,0,0,0,55,497,55009534.0,41174.8,34821.5,50986709.0,38832.0,0,0,4928.57,892947.59,19,MID_INCOME
137,138,Tract00_014,95.01,95.1,0.63,8336.24,5264,2000 Tract 95.01,1767,666,0.13,4598,0.87,-605,-303,-378,12,53,27,91,-10.31,5869,5264,-605,-0.1,1757,3107,15,111,0,21,197,306,0.17,95.1, ,114,192,46,54,184,176,306,0,0,0,0,0,0,152,849,47321396.0,33091.89,28889.0,41265780.0,32654.5,0,0,6395.64,1635483.84,19,LOW_INCOME
138,139,Tract00_015,95.09,95.9,0.25,11667.61,2898,2000 Tract 95.09,1247,540,0.19,2358,0.81,-373,-13,-322,25,-7,-6,-2,-11.4,3271,2898,-373,-0.11,47,2775,9,5,0,0,14,1151,0.92,95.9, ,120,336,11,53,86,203,456,0,0,0,0,0,0,42,396,57265457.0,42735.42,37888.5,53670022.0,43058.0,0,0,3323.31,643302.24,20,MID_INCOME
139,140,Tract00_016,22.02,22.2,0.28,10813.24,3013,2000 Tract 22.02,1259,720,0.24,2293,0.76,-284,6,-358,36,8,84,111,-8.61,3297,3013,-284,-0.09,29,2677,19,8,0,6,210,588,0.47,22.2, ,89,174,36,58,154,188,263,0,0,0,0,0,0,71,489,45507061.0,34062.17,28066.0,40472018.0,32376.0,0,0,3462.09,721667.76,19,LOW_INCOME
140,141,Tract00_027,27.01,27.1,0.18,32582.42,5742,2000 Tract 27.01,2650,856,0.15,4886,0.85,792,408,-123,74,182,597,679,16.0,4950,5742,792,0.16,1747,1670,15,401,2,29,1628,585,0.22,27.1, ,283,329,45,102,118,130,612,0,0,0,0,0,0,355,1288,116129242.0,49144.83,33215.0,105664124.0,39605.5,0,0,3425.15,456433.38,2,MID_INCOME
141,142,Tract00_035,28.02,28.2,0.09,53095.35,4700,2000 Tract 28.02,1738,1115,0.24,3585,0.76,-70,250,-531,45,109,142,350,-1.47,4770,4700,-70,-0.01,364,1488,15,337,0,15,2398,151,0.09,28.2, ,235,210,57,106,148,120,445,0,0,0,0,0,0,203,659,48056615.0,30531.52,23073.0,42015485.0,25956.5,0,0,2079.9,229257.49,2,LOW_INCOME
142,143,Tract00_070,53.01,53.1,0.11,45623.08,5045,2000 Tract 53.01,3692,161,0.03,4884,0.97,-42,379,-195,54,120,-467,-198,-0.83,5087,5045,-42,-0.01,3696,338,13,343,2,26,505,1229,0.33,53.1, ,68,279,12,26,15,31,347,0,0,0,0,0,0,568,2693,213498575.0,76331.27,53643.0,212339927.0,65676.0,0,0,2322.82,286393.36,6,MID_INCOME
143,144,Tract00_063,88.03,88.3,0.45,4300.83,1918,2000 Tract 88.03,425,334,0.17,1584,0.83,-266,229,-479,33,30,40,-14,-12.18,2184,1918,-266,-0.12,605,1122,6,45,2,1,87,54,0.13,88.3, ,22,26,21,18,87,58,48,0,0,0,0,0,0,33,160,8175017.0,18046.4,9806.0,8040125.0,16167.0,0,0,5275.71,1155038.95,23,LOW_INCOME
144,145,Tract00_078,54.02,54.2,0.12,8.57,1,2000 Tract 54.02,1,0,0.0,1,1.0,-1,-2,0,0,1,0,0,-50.0,2,1,-1,-0.5,0,0,0,1,0,0,0,0,0.0,54.2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11665895.0,220111.23,46956.0,7656979.0,58060.0,0,0,2847.49,302098.75,6,MID_INCOME
145,146,Tract00_086,52.02,52.2,0.07,10613.04,760,2000 Tract 52.02,511,66,0.09,694,0.91,18,-4,-9,3,85,-39,-8,2.43,742,760,18,0.02,271,151,3,153,0,4,140,6,0.01,52.2, ,26,32,3,8,8,14,58,0,0,0,0,0,0,48,372,12062198.0,39036.24,31960.0,11494821.0,39062.0,0,0,2029.53,185461.72,8,MID_INCOME
146,147,Tract00_143,73.02,73.2,0.45,7320.69,3261,2000 Tract 73.02,1274,922,0.28,2339,0.72,-916,-71,-823,8,-8,11,19,-21.93,4177,3261,-916,-0.22,55,3111,3,10,0,9,42,473,0.37,73.2, ,87,182,39,49,210,180,269,0,0,0,0,0,0,79,448,35470952.0,28628.69,23995.0,31685413.0,28101.0,0,0,5505.77,1153712.58,15,LOW_INCOME
147,148,Tract00_113,77.08,77.8,0.32,8388.36,2706,2000 Tract 77.08,1152,837,0.31,1869,0.69,-185,-4,-176,9,2,-5,7,-6.4,2891,2706,-185,-0.06,16,2654,4,2,0,1,7,224,0.19,77.8, ,61,98,37,36,288,173,159,0,0,0,0,0,0,59,400,25759590.0,28060.56,25137.0,23420239.0,29249.0,0,0,4383.64,835518.06,32,LOW_INCOME
148,149,Tract00_118,62.01,62.1,0.33,432.41,144,2000 Tract 62.01,94,2,0.01,142,0.99,93,87,7,1,-1,-2,0,182.35,51,144,93,1.82,135,7,0,0,0,0,1,84,0.89,62.1, ,2,30,0,2,0,0,32,93,93,0,10000000,10000000,0,13,47,12664031.0,119471.99,98691.5,13375338.0,122725.0,0,0,4164.44,862527.13,9,MID_HIGH_INCOME
149,150,Tract00_031,31.0,31.0,0.11,24207.01,2755,2000 Tract 31,901,729,0.26,2026,0.74,-154,218,-687,8,16,477,374,-5.29,2909,2755,-154,-0.05,82,1795,6,15,1,8,824,471,0.52,31.0, ,134,118,25,49,89,146,252,0,0,0,0,0,0,80,260,39334586.0,30350.76,24979.0,35744225.0,29167.5,0,0,2574.16,294765.49,2,LOW_INCOME
150,151,Tract00_047,36.0,36.0,0.12,33192.03,3915,2000 Tract 36,1603,858,0.22,3057,0.78,-357,229,-1113,40,137,518,579,-8.36,4272,3915,-357,-0.08,344,2386,15,123,0,9,924,275,0.17,36.0, ,154,132,29,67,179,122,286,0,0,0,0,0,0,226,694,67166052.0,36863.91,27381.5,61156191.0,32244.5,0,0,2298.61,305503.33,2,LOW_INCOME
151,152,Tract00_154,1.0,1.0,0.9,5220.89,4674,2000 Tract 1,2724,460,0.1,4214,0.9,-32,-94,45,15,54,-41,12,-0.68,4706,4674,-32,-0.01,4059,186,7,163,3,11,192,1445,0.53,1.0, ,214,555,11,24,40,37,769,0,0,0,0,0,0,361,1482,413174189.0,203433.87,76215.0,413250951.0,86791.5,0,0,8564.17,2318693.46,4,MID_HIGH_INCOME
152,153,Tract00_003,18.04,18.4,0.23,17889.12,4156,2000 Tract 18.04,1774,932,0.22,3224,0.78,-81,208,-697,11,43,541,527,-1.91,4237,4156,-81,-0.02,95,2897,3,35,1,16,1003,578,0.33,18.4, ,210,284,44,71,182,211,494,0,0,0,0,0,0,128,644,69985531.0,35168.61,26205.5,65111551.0,29408.0,0,0,3404.87,601699.92,17,LOW_INCOME
153,154,Tract00_008,13.01,13.1,1.11,3371.79,3747,2000 Tract 13.01,2048,427,0.11,3320,0.89,54,-149,41,17,200,56,59,1.46,3693,3747,54,0.01,2893,258,1,288,3,8,208,642,0.31,13.1, ,218,431,10,25,32,51,649,4,4,0,926200,926200,0,251,1030,235868221.0,134858.9,55496.0,237384666.0,66859.0,0,0,8660.94,2878221.07,12,MID_INCOME
154,155,Tract00_187,95.03,95.3,0.56,5507.65,3066,2000 Tract 95.03,1207,596,0.19,2470,0.81,-154,-99,-28,19,9,-8,10,-4.78,3220,3066,-154,-0.05,299,2660,3,18,1,3,37,1115,0.92,95.3, ,132,340,14,40,82,188,472,0,0,0,0,0,0,67,344,77208364.0,54564.21,44583.0,70948127.0,49271.5,0,0,5486.88,1441794.25,20,MID_INCOME
